epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,255.168,1.46241,5.73648,1.73382,0.50697,0.27531,0.29569,0.11788,1.51756,11.5665,1.83334,0.000888085,0.000888085,0.050945
2,455.282,1.39297,5.06222,1.67682,0.55286,0.35258,0.38246,0.14097,1.47288,8.34817,1.71303,0.00160124,0.00160124,0.00165819
3,656.856,1.33105,4.60395,1.61702,0.66871,0.45231,0.51362,0.21759,1.32467,7.1329,1.60869,0.00142611,0.00142611,0.00142611
4,859.72,1.2667,4.22774,1.56099,0.69511,0.44823,0.5415,0.24976,1.259,5.26885,1.52087,0.00125007,0.00125007,0.00125007
5,1058.17,1.22366,3.89643,1.51121,0.76917,0.53836,0.64389,0.3044,1.20774,4.94618,1.48258,0.00107403,0.00107403,0.00107403
6,1259.6,1.17468,3.6333,1.46243,0.77347,0.54857,0.6583,0.31708,1.17637,5.06898,1.43367,0.000897988,0.000897988,0.000897988
7,1459.51,1.13369,3.40241,1.42533,0.79523,0.61732,0.72626,0.37095,1.10797,4.00192,1.3913,0.000721947,0.000721947,0.000721947
8,1658.91,1.09191,3.20013,1.38053,0.82919,0.64463,0.76257,0.40181,1.06478,3.80172,1.3363,0.000545906,0.000545906,0.000545906
9,1857.55,1.05269,3.01319,1.34116,0.837,0.67572,0.78721,0.42672,1.0384,3.50915,1.31003,0.000369865,0.000369865,0.000369865
10,2055.25,1.0186,2.85615,1.30781,0.84679,0.69499,0.80518,0.44286,1.00864,3.32943,1.28378,0.000193823,0.000193823,0.000193823
