epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,336.906,1.30105,5.12285,1.74312,0.44694,0.2847,0.28057,0.09779,1.33048,17.0181,1.8156,0.0014423,0.0014423,0.0681469
2,601.36,1.2518,4.60889,1.70092,0.49114,0.35407,0.35201,0.13206,1.26935,12.1574,1.69072,0.00260051,0.00260051,0.0359718
3,869.378,1.20545,4.29737,1.64887,0.63288,0.40737,0.44916,0.17735,1.24798,6.82952,1.67908,0.00347282,0.00347282,0.00351079
4,1137.55,1.14963,3.90191,1.59524,0.65697,0.42025,0.48828,0.21209,1.1672,6.17178,1.59805,0.00304529,0.00304529,0.00304529
5,1406.07,1.09346,3.52319,1.52597,0.70959,0.53203,0.61648,0.28119,1.0841,6.38362,1.4943,0.00261644,0.00261644,0.00261644
6,1674.7,1.04475,3.23376,1.46962,0.76558,0.58084,0.68737,0.33676,1.02556,4.81646,1.42175,0.00218758,0.00218758,0.00218758
7,1936.7,0.99518,2.96172,1.41911,0.81481,0.60448,0.72798,0.37361,0.98516,3.52233,1.39285,0.00175873,0.00175873,0.00175873
8,2195.99,0.95557,2.72804,1.37096,0.82709,0.64552,0.76538,0.40976,0.94427,3.19162,1.34667,0.00132988,0.00132988,0.00132988
9,2453.64,0.91199,2.52295,1.32805,0.83975,0.6814,0.79688,0.43571,0.91275,2.97578,1.31452,0.000901024,0.000901024,0.000901024
10,2656.34,0.87508,2.36288,1.28779,0.84717,0.70794,0.81599,0.45808,0.88631,2.8607,1.28337,0.000472171,0.000472171,0.000472171
