epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
7,1834.82,1.35117,3.35688,1.49638,0.69279,0.46227,0.56138,0.27485,1.34293,4.48456,1.45723,0.00116259,0.00116259,0.00116259
8,2073.72,1.2998,3.15109,1.44706,0.73002,0.48413,0.60435,0.30814,1.28599,3.88839,1.41974,0.000879103,0.000879103,0.000879103
1,318.804,1.71169,5.13488,1.78049,0.33489,0.16945,0.14938,0.05271,1.91126,7.28417,1.9568,0.000715066,0.000715066,0.0757435
9,2331.03,1.25223,2.97154,1.40881,0.74671,0.51923,0.63613,0.33398,1.24025,3.70444,1.37891,0.000595614,0.000595614,0.000595614
2,584.435,1.6317,4.63551,1.72589,0.55974,0.24481,0.25036,0.09247,1.80437,36.3813,1.9383,0.00128928,0.00128928,0.0513178
10,2588.31,1.2069,2.81237,1.36956,0.76712,0.53775,0.65776,0.35002,1.22405,3.56934,1.35731,0.000312124,0.000312124,0.000312124
3,802.93,1.58695,4.3978,1.6853,0.51573,0.28566,0.31049,0.1244,1.63564,6.89092,1.70663,0.00172176,0.00172176,0.0267502
4,1011.01,1.53452,4.18591,1.64989,0.61117,0.3583,0.41732,0.17623,1.5665,6.48839,1.6301,0.00201249,0.00201249,0.00204096
5,1263.97,1.47424,3.86376,1.59536,0.61243,0.36286,0.43264,0.1955,1.46836,5.94444,1.57501,0.00172957,0.00172957,0.00172957
6,1525.8,1.4101,3.60088,1.54038,0.67649,0.40745,0.49321,0.23091,1.42798,6.2107,1.52951,0.00144608,0.00144608,0.00144608
7,1791.74,1.35117,3.35688,1.49638,0.69279,0.46227,0.56138,0.27485,1.34293,4.48456,1.45723,0.00116259,0.00116259,0.00116259
8,2053.76,1.2998,3.15109,1.44706,0.73002,0.48413,0.60435,0.30814,1.28599,3.88839,1.41974,0.000879103,0.000879103,0.000879103
9,2313.36,1.25223,2.97154,1.40881,0.74671,0.51923,0.63613,0.33398,1.24025,3.70444,1.37891,0.000595614,0.000595614,0.000595614
10,2574.26,1.2069,2.81237,1.36956,0.76712,0.53775,0.65776,0.35002,1.22405,3.56934,1.35731,0.000312124,0.000312124,0.000312124
