epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,297.934,2.68864,4.46858,1.82259,0.51528,0.32112,0.34881,0.13464,2.51213,7.68547,1.66553,0.000342949,0.000342949,0.0670476
2,538.831,2.36471,3.15403,1.58733,0.59756,0.39873,0.44706,0.18748,2.33754,6.69364,1.54475,0.000618346,0.000618346,0.0339896
3,776.366,2.24736,2.85716,1.51655,0.64693,0.42678,0.50111,0.22331,2.24569,4.77782,1.48065,0.000825762,0.000825762,0.000863727
4,1013.63,2.15938,2.67607,1.46528,0.68651,0.46245,0.5516,0.2584,2.16023,4.2012,1.43244,0.000724104,0.000724104,0.000724104
5,1253.85,2.093,2.52073,1.42002,0.70802,0.50283,0.59281,0.28649,2.07998,3.76732,1.3966,0.000622132,0.000622132,0.000622132
6,1490,2.03378,2.4356,1.39101,0.70151,0.50766,0.60511,0.29671,2.04328,3.30772,1.38108,0.00052016,0.00052016,0.00052016
7,1726.92,1.9934,2.35971,1.37308,0.72224,0.54721,0.64602,0.32333,1.97399,3.41222,1.34789,0.000418188,0.000418188,0.000418188
8,1947.82,1.95842,2.30371,1.35171,0.72872,0.55832,0.65811,0.33693,1.95033,3.14894,1.33471,0.000316216,0.000316216,0.000316216
9,2154.5,1.92309,2.24665,1.33295,0.73852,0.55857,0.66834,0.34521,1.92232,3.1241,1.31875,0.000214244,0.000214244,0.000214244
10,2409.2,1.90171,2.21231,1.32258,0.74382,0.56335,0.67374,0.35007,1.90445,3.0313,1.31157,0.000112272,0.000112272,0.000112272
