epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
7,1844.72,1.39316,3.51464,1.51096,0.70301,0.43502,0.53697,0.26024,1.36937,4.30764,1.45261,0.00125441,0.00125441,0.00125441
8,2086.35,1.3409,3.31343,1.45968,0.71874,0.47441,0.58053,0.28899,1.3398,3.99158,1.42535,0.000948534,0.000948534,0.000948534
1,327.468,1.73441,5.1739,1.80089,0.38815,0.23718,0.22489,0.08423,1.77498,9.42881,1.87346,0.000771542,0.000771542,0.0758
9,2348.4,1.29395,3.1347,1.42108,0.72691,0.49362,0.6035,0.31075,1.30391,3.72188,1.40343,0.000642655,0.000642655,0.000642655
2,596.116,1.66227,4.70152,1.7398,0.46917,0.26809,0.26314,0.1002,1.84363,13.1265,1.9079,0.00139111,0.00139111,0.0514196
10,2613.13,1.25456,2.9845,1.38838,0.75026,0.51712,0.63363,0.33184,1.26933,3.5586,1.37429,0.000336776,0.000336776,0.000336776
3,818.117,1.61847,4.49346,1.70561,0.56294,0.30996,0.3409,0.13507,1.65443,6.09962,1.73021,0.00185774,0.00185774,0.0268862
4,1046.24,1.56527,4.28224,1.65803,0.50984,0.27674,0.29255,0.12132,1.66862,8.94517,1.69535,0.00217143,0.00217143,0.00219991
5,1302.36,1.50915,3.99939,1.60307,0.63913,0.37341,0.43722,0.18908,1.50261,6.96033,1.55831,0.00186617,0.00186617,0.00186617
6,1566.6,1.45074,3.75342,1.55052,0.67477,0.41085,0.49424,0.22742,1.43572,4.86591,1.52088,0.00156029,0.00156029,0.00156029
7,1831.21,1.39316,3.51464,1.51096,0.70301,0.43502,0.53697,0.26024,1.36937,4.30764,1.45261,0.00125441,0.00125441,0.00125441
8,2095.2,1.3409,3.31343,1.45968,0.71874,0.47441,0.58053,0.28899,1.3398,3.99158,1.42535,0.000948534,0.000948534,0.000948534
9,2355.91,1.29395,3.1347,1.42108,0.72691,0.49362,0.6035,0.31075,1.30391,3.72188,1.40343,0.000642655,0.000642655,0.000642655
10,2616.44,1.25456,2.9845,1.38838,0.75026,0.51712,0.63363,0.33184,1.26933,3.5586,1.37429,0.000336776,0.000336776,0.000336776
