epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,392.762,2.904,3.30304,1.68264,0.43963,0.19191,0.19669,0.07173,2.87359,4.6824,1.66791,7.25258e-05,7.25258e-05,0.0800839
2,729.649,2.71796,2.86946,1.60972,0.57118,0.30104,0.35151,0.14042,2.67947,4.66648,1.49997,0.000130729,0.000130729,0.0601421
3,1051.82,2.60043,2.65024,1.5589,0.67514,0.45062,0.52466,0.22283,2.40158,7.39471,1.40282,0.000174563,0.000174563,0.040186
4,1356.67,2.50344,2.46936,1.51593,0.68963,0.47798,0.56052,0.26119,2.27785,4.46027,1.37947,0.00020403,0.00020403,0.0202154
5,1659.17,2.43598,2.3515,1.48598,0.72844,0.51552,0.61259,0.29682,2.19125,5.11414,1.34243,0.000219128,0.000219128,0.000230517
6,1958.33,2.36037,2.2303,1.45768,0.74966,0.53986,0.64207,0.32092,2.12039,3.80884,1.30423,0.000183232,0.000183232,0.000183232
7,2255.5,2.27792,2.10747,1.41986,0.77501,0.57452,0.6827,0.35069,2.03156,3.24872,1.27055,0.000147311,0.000147311,0.000147311
8,2498.51,2.19921,1.98606,1.38518,0.79257,0.6029,0.7142,0.37838,1.96143,3.19626,1.23808,0.000111391,0.000111391,0.000111391
9,2799.31,2.12004,1.88205,1.33932,0.7998,0.62584,0.73384,0.39769,1.91342,2.73455,1.21503,7.54699e-05,7.54699e-05,7.54699e-05
10,3101.8,2.02834,1.77873,1.29791,0.81647,0.63329,0.75,0.41346,1.86784,2.55168,1.18916,3.95491e-05,3.95491e-05,3.95491e-05
