epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,316.007,2.73112,2.36797,1.81223,0.39489,0.27887,0.25118,0.08861,2.65539,3.63894,1.75616,7.33548e-05,7.33548e-05,0.0751018
2,572.817,2.50453,1.6058,1.68896,0.502,0.33161,0.35145,0.13814,2.47578,3.27247,1.65807,0.000132261,0.000132261,0.0501607
3,835.131,2.36002,1.43202,1.60057,0.57775,0.38117,0.42194,0.17952,2.35126,3.53066,1.55536,0.000176626,0.000176626,0.0252051
4,1098.77,2.25401,1.33512,1.53868,0.60431,0.39975,0.45308,0.19942,2.29983,3.0053,1.53768,0.00020645,0.00020645,0.000234924
5,1359.29,2.16054,1.24058,1.4707,0.63797,0.45075,0.51867,0.24524,2.14441,2.38876,1.43663,0.000177427,0.000177427,0.000177427
6,1621.73,2.07581,1.18013,1.42544,0.65757,0.4645,0.54388,0.26165,2.11088,1.75833,1.41659,0.000148346,0.000148346,0.000148346
7,1884.85,2.00979,1.1326,1.39397,0.68605,0.49479,0.57982,0.28991,2.00788,2.05438,1.36916,0.000119264,0.000119264,0.000119264
8,2084.43,1.96392,1.09888,1.3637,0.71299,0.50385,0.59917,0.30617,1.97668,1.97674,1.36146,9.01824e-05,9.01824e-05,9.01824e-05
9,2309.25,1.92371,1.07184,1.34428,0.71537,0.51474,0.61276,0.31817,1.93839,1.92301,1.33213,6.11008e-05,6.11008e-05,6.11008e-05
10,2544.51,1.89243,1.05484,1.32968,0.71337,0.52563,0.61984,0.32452,1.91662,1.86796,1.3241,3.20192e-05,3.20192e-05,3.20192e-05
