epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
6,1560.53,1.03105,3.70365,1.42218,0.69177,0.4325,0.53849,0.26333,1.04785,4.45028,1.41265,5.43966e-05,5.43966e-05,5.43966e-05
7,1755.55,1.00484,3.53759,1.39969,0.6995,0.47743,0.58589,0.29226,1.0074,4.63774,1.38512,4.37327e-05,4.37327e-05,4.37327e-05
1,318.543,1.31034,5.70186,1.75269,0.38228,0.17898,0.17854,0.07069,1.34224,7.29714,1.76292,3.58645e-05,3.58645e-05,0.0667405
8,2005.57,0.98146,3.40671,1.36977,0.69844,0.48512,0.59581,0.30225,0.99602,4.20613,1.35528,3.30688e-05,3.30688e-05,3.30688e-05
9,2263.65,0.96224,3.29786,1.34663,0.72195,0.4983,0.6149,0.31613,0.97743,4.11081,1.34328,2.24049e-05,2.24049e-05,2.24049e-05
2,578.543,1.21097,4.89554,1.63086,0.56214,0.28981,0.32203,0.13013,1.25646,8.20027,1.63228,6.46646e-05,6.46646e-05,0.033436
3,834.535,1.15085,4.48356,1.5614,0.62261,0.34162,0.39753,0.16584,1.22831,6.13876,1.56181,8.63555e-05,8.63555e-05,0.000124321
10,2521.49,0.94622,3.21084,1.33063,0.72293,0.5082,0.62453,0.32328,0.96909,4.04003,1.33625,1.17411e-05,1.17411e-05,1.17411e-05
4,1040.11,1.10052,4.1588,1.5043,0.64665,0.39494,0.47942,0.22177,1.1246,5.3298,1.51924,7.57244e-05,7.57244e-05,7.57244e-05
5,1289.95,1.06292,3.88981,1.45878,0.67324,0.41337,0.51266,0.24396,1.06296,5.67334,1.44087,6.50605e-05,6.50605e-05,6.50605e-05
6,1549.74,1.03105,3.70365,1.42218,0.69177,0.4325,0.53849,0.26333,1.04785,4.45028,1.41265,5.43966e-05,5.43966e-05,5.43966e-05
7,1810.61,1.00484,3.53759,1.39969,0.6995,0.47743,0.58589,0.29226,1.0074,4.63774,1.38512,4.37327e-05,4.37327e-05,4.37327e-05
8,2070.7,0.98146,3.40671,1.36977,0.69844,0.48512,0.59581,0.30225,0.99602,4.20613,1.35528,3.30688e-05,3.30688e-05,3.30688e-05
9,2335.01,0.96224,3.29786,1.34663,0.72195,0.4983,0.6149,0.31613,0.97743,4.11081,1.34328,2.24049e-05,2.24049e-05,2.24049e-05
10,2598.84,0.94622,3.21084,1.33063,0.72293,0.5082,0.62453,0.32328,0.96909,4.04003,1.33625,1.17411e-05,1.17411e-05,1.17411e-05
