epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
7,1814.72,1.11189,4.54471,1.58544,0.65508,0.40459,0.488,0.22541,1.11655,6.49719,1.54682,0.00266167,0.00266167,0.00266167
8,2063.34,1.07754,4.32634,1.54524,0.67912,0.43155,0.527,0.24995,1.10102,5.57413,1.52379,0.00201264,0.00201264,0.00201264
1,324.061,1.40808,6.92131,1.95559,0.2602,0.17299,0.12565,0.04368,1.54449,13.2259,2.13312,0.00327419,0.00327419,0.0533311
9,2321.06,1.04686,4.10927,1.51244,0.70227,0.45932,0.56466,0.27936,1.05089,5.44991,1.48382,0.00136362,0.00136362,0.00136362
2,588.285,1.3384,6.30568,1.87491,0.37546,0.24985,0.22631,0.08116,1.36328,21.3401,1.88453,0.00590345,0.00590345,0.0059604
10,2581.66,1.01718,3.95474,1.4811,0.70446,0.47879,0.58011,0.29151,1.0397,5.35247,1.46831,0.000714587,0.000714587,0.000714587
3,818.284,1.27581,5.82619,1.78898,0.40103,0.20587,0.20158,0.07284,1.45797,9.02531,1.94034,0.00525779,0.00525779,0.00525779
4,1017.38,1.22761,5.43891,1.7286,0.57124,0.33147,0.3731,0.15254,1.2117,7.35646,1.65544,0.00460876,0.00460876,0.00460876
5,1267.14,1.18624,5.10582,1.67242,0.57774,0.32882,0.3769,0.16276,1.2113,7.01735,1.65555,0.00395973,0.00395973,0.00395973
6,1529.8,1.15089,4.81833,1.62938,0.66348,0.38642,0.46686,0.20671,1.14322,7.42868,1.59744,0.0033107,0.0033107,0.0033107
7,1797.04,1.11189,4.54471,1.58544,0.65508,0.40459,0.488,0.22541,1.11655,6.49719,1.54682,0.00266167,0.00266167,0.00266167
8,2061.18,1.07754,4.32634,1.54524,0.67912,0.43155,0.527,0.24995,1.10102,5.57413,1.52379,0.00201264,0.00201264,0.00201264
9,2327.9,1.04686,4.10927,1.51244,0.70227,0.45932,0.56466,0.27936,1.05089,5.44991,1.48382,0.00136362,0.00136362,0.00136362
10,2591.42,1.01718,3.95474,1.4811,0.70446,0.47879,0.58011,0.29151,1.0397,5.35247,1.46831,0.000714587,0.000714587,0.000714587
