epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,190.39,1.33084,8.07212,1.70761,0.57362,0.44298,0.46274,0.17848,1.23233,8.57601,1.57674,3.72989e-05,3.72989e-05,0.0750658
2,378.414,1.20691,5.58944,1.56022,0.65243,0.4939,0.54979,0.22794,1.14743,7.46486,1.4926,7.21772e-05,7.21772e-05,0.0501007
3,566.001,1.13514,5.01048,1.48957,0.71273,0.54925,0.62269,0.26541,1.10529,6.71187,1.45318,0.000104591,0.000104591,0.0251331
4,753.617,1.09667,4.63253,1.44407,0.74689,0.58799,0.67019,0.29273,1.07759,6.2429,1.39907,0.00013454,0.00013454,0.000163014
5,940.895,1.06665,4.33754,1.41422,0.77236,0.61627,0.70967,0.32434,1.04543,5.57958,1.3832,0.000129649,0.000129649,0.000129649
6,1127.91,1.0422,4.13691,1.38384,0.78723,0.64266,0.73601,0.34146,1.03528,5.10361,1.37308,0.00012472,0.00012472,0.00012472
7,1314.99,1.02691,3.99826,1.36805,0.7913,0.659,0.75346,0.35621,1.01896,4.71112,1.34715,0.000119791,0.000119791,0.000119791
8,1502.13,1.01526,3.88648,1.35316,0.80755,0.6703,0.7674,0.36895,1.00542,4.52416,1.33563,0.000114862,0.000114862,0.000114862
9,1688.8,1.00174,3.80366,1.34056,0.8236,0.67192,0.7754,0.37904,0.99351,4.25561,1.32334,0.000109933,0.000109933,0.000109933
10,1875.74,0.9929,3.71989,1.33019,0.83234,0.68269,0.79017,0.39013,0.98627,4.23923,1.31199,0.000105004,0.000105004,0.000105004
11,2062.39,0.985,3.6468,1.31755,0.83188,0.69528,0.79779,0.39722,0.97677,4.09164,1.30015,0.000100075,0.000100075,0.000100075
12,2248.96,0.97811,3.58816,1.3099,0.82773,0.71305,0.80515,0.40463,0.9669,3.98083,1.29013,9.51459e-05,9.51459e-05,9.51459e-05
13,2435.53,0.971,3.53584,1.30425,0.83466,0.71666,0.81325,0.41114,0.96073,3.89069,1.28688,9.02169e-05,9.02169e-05,9.02169e-05
14,2621.89,0.96378,3.4889,1.29534,0.84448,0.71824,0.81821,0.41626,0.95476,3.83035,1.27832,8.52878e-05,8.52878e-05,8.52878e-05
15,2808.39,0.95928,3.45418,1.29124,0.84582,0.72381,0.82321,0.42081,0.94899,3.78241,1.27337,8.03587e-05,8.03587e-05,8.03587e-05
16,2994.7,0.95141,3.40515,1.28304,0.84614,0.72871,0.82699,0.42422,0.94426,3.74637,1.26877,7.54297e-05,7.54297e-05,7.54297e-05
17,3180.95,0.94478,3.38216,1.27654,0.85111,0.72987,0.83029,0.4277,0.9396,3.73242,1.2641,7.05006e-05,7.05006e-05,7.05006e-05
18,3367.07,0.93985,3.35048,1.27321,0.85254,0.73048,0.83211,0.42971,0.9365,3.70605,1.26145,6.55715e-05,6.55715e-05,6.55715e-05
19,3553.34,0.93747,3.32213,1.26717,0.85267,0.7332,0.83409,0.43245,0.9339,3.68506,1.25886,6.06425e-05,6.06425e-05,6.06425e-05
20,3739.5,0.93408,3.29362,1.26738,0.85337,0.73531,0.83551,0.43478,0.93201,3.66153,1.25716,5.57134e-05,5.57134e-05,5.57134e-05
21,3951.06,0.93183,3.27453,1.26171,0.85471,0.73783,0.8373,0.43638,0.92975,3.64753,1.25509,5.07843e-05,5.07843e-05,5.07843e-05
22,4137.35,0.92646,3.25892,1.2589,0.8573,0.73912,0.83853,0.43783,0.92802,3.63407,1.25351,4.58553e-05,4.58553e-05,4.58553e-05
23,4323.71,0.92369,3.24097,1.25602,0.85736,0.74151,0.83971,0.43924,0.92629,3.62325,1.25216,4.09262e-05,4.09262e-05,4.09262e-05
24,4510.03,0.91913,3.23447,1.25198,0.85853,0.74328,0.8408,0.44085,0.92442,3.6086,1.25048,3.59971e-05,3.59971e-05,3.59971e-05
25,4696.34,0.91806,3.22343,1.25057,0.86146,0.74205,0.84198,0.44182,0.9227,3.59474,1.24895,3.10681e-05,3.10681e-05,3.10681e-05
26,4882.67,0.91473,3.20849,1.25034,0.86324,0.74382,0.84313,0.44325,0.92101,3.57967,1.24712,2.6139e-05,2.6139e-05,2.6139e-05
27,5069.07,0.91551,3.19314,1.24672,0.86335,0.74494,0.8443,0.44425,0.9197,3.56598,1.24611,2.12099e-05,2.12099e-05,2.12099e-05
28,5255.15,0.9119,3.18324,1.24714,0.86216,0.7462,0.84502,0.44541,0.91818,3.55463,1.24447,1.62809e-05,1.62809e-05,1.62809e-05
29,5441.54,0.91322,3.18161,1.24384,0.86514,0.74539,0.8456,0.44672,0.91673,3.54321,1.24318,1.13518e-05,1.13518e-05,1.13518e-05
30,5627.94,0.91055,3.17012,1.2421,0.86458,0.74759,0.84659,0.44782,0.91555,3.53344,1.2419,6.42272e-06,6.42272e-06,6.42272e-06
