epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
3,549.666,2.55888,1.82381,1.79451,0.26359,0.15338,0.12081,0.04416,2.72147,2.76039,1.82365,0.000176626,0.000176626,0.0252051
4,766.09,2.42538,1.6846,1.71003,0.24707,0.1401,0.10395,0.04103,2.87086,2.78679,1.95188,0.00020645,0.00020645,0.000234924
1,324.367,2.9043,2.53248,1.98401,0.34932,0.19137,0.16782,0.06002,2.78594,2.91547,1.84472,7.33548e-05,7.33548e-05,0.0751018
5,1001.43,2.31237,1.52361,1.63392,0.31246,0.15358,0.13646,0.05934,2.71316,2.86638,1.79829,0.000177427,0.000177427,0.000177427
2,583.466,2.63772,1.77634,1.79507,0.43921,0.24413,0.24879,0.0962,2.59599,2.73346,1.73236,0.000132261,0.000132261,0.0501607
6,1234.28,2.22636,1.42352,1.58257,0.33894,0.16107,0.14325,0.0654,2.72949,2.85474,1.81503,0.000148346,0.000148346,0.000148346
3,843.74,2.48568,1.60831,1.69325,0.49882,0.28845,0.31314,0.12514,2.44392,2.87815,1.6263,0.000176626,0.000176626,0.0252051
7,1468.77,2.14243,1.3713,1.53422,0.35023,0.16863,0.1512,0.07252,2.73483,2.93271,1.83757,0.000119264,0.000119264,0.000119264
4,1103.25,2.38418,1.51512,1.63151,0.49703,0.31513,0.33744,0.14249,2.38342,4.03962,1.58626,0.00020645,0.00020645,0.000234924
8,1699.76,2.08109,1.32489,1.49795,0.37306,0.17469,0.16263,0.07966,2.74651,2.9827,1.83614,9.01824e-05,9.01824e-05,9.01824e-05
9,1938.14,2.03122,1.27626,1.46514,0.38233,0.17926,0.16676,0.08339,2.77446,3.03663,1.86414,6.11008e-05,6.11008e-05,6.11008e-05
5,1367.72,2.29745,1.43624,1.57318,0.55375,0.3244,0.37157,0.16857,2.32483,2.66214,1.56044,0.000177427,0.000177427,0.000177427
10,2176.44,1.98585,1.25652,1.44196,0.38417,0.18231,0.17003,0.08588,2.76556,2.99538,1.85973,3.20192e-05,3.20192e-05,3.20192e-05
6,1619.46,2.22355,1.37808,1.5314,0.56571,0.33937,0.38883,0.17434,2.30773,3.32628,1.5292,0.000148346,0.000148346,0.000148346
7,1821.48,2.16185,1.33484,1.50125,0.58777,0.36323,0.42708,0.20283,2.176,2.6505,1.47484,0.000119264,0.000119264,0.000119264
8,2069.15,2.12151,1.3024,1.47381,0.59883,0.37682,0.4442,0.21462,2.14719,2.85339,1.46631,9.01824e-05,9.01824e-05,9.01824e-05
9,2324.44,2.08266,1.2753,1.45383,0.61229,0.386,0.45663,0.22591,2.11832,2.32316,1.44942,6.11008e-05,6.11008e-05,6.11008e-05
10,2580.4,2.05438,1.26104,1.43974,0.60835,0.39022,0.45921,0.22872,2.09379,2.38168,1.43736,3.20192e-05,3.20192e-05,3.20192e-05
