epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
4,1019.85,2.03555,1.67548,1.62382,0.50839,0.30193,0.32738,0.13734,2.04139,3.36659,1.58811,0.000138029,0.000138029,0.000138029
5,1259.38,2.00112,1.63536,1.59373,0.52027,0.31214,0.34162,0.14792,2.02032,3.14451,1.56758,0.000118591,0.000118591,0.000118591
1,327.245,2.45375,2.49828,1.97692,0.38556,0.22405,0.21398,0.07866,2.27764,3.88559,1.78287,0.00019612,0.00019612,0.000310015
6,1511.81,1.97847,1.6086,1.57659,0.52516,0.31751,0.34989,0.15192,2.00932,3.09267,1.56112,9.91534e-05,9.91534e-05,9.91534e-05
2,586.407,2.17186,1.82541,1.73444,0.45905,0.26884,0.27904,0.10857,2.13792,3.32424,1.66162,0.000176905,0.000176905,0.000176905
7,1766.38,1.95358,1.58579,1.56622,0.53986,0.32337,0.35753,0.15824,1.9811,3.08933,1.54118,7.97154e-05,7.97154e-05,7.97154e-05
3,848.723,2.08192,1.72402,1.65795,0.51232,0.28715,0.31306,0.12763,2.07344,3.16847,1.6034,0.000157467,0.000157467,0.000157467
8,2024.69,1.94233,1.57138,1.55146,0.53811,0.32994,0.36509,0.16281,1.97716,3.10987,1.53929,6.02774e-05,6.02774e-05,6.02774e-05
4,1108.42,2.03555,1.67548,1.62382,0.50839,0.30193,0.32738,0.13734,2.04139,3.36659,1.58811,0.000138029,0.000138029,0.000138029
9,2280.21,1.92767,1.55955,1.54321,0.54824,0.32957,0.36959,0.16664,1.96485,3.08006,1.53279,4.08394e-05,4.08394e-05,4.08394e-05
5,1369.39,2.00112,1.63536,1.59373,0.52027,0.31214,0.34162,0.14792,2.02032,3.14451,1.56758,0.000118591,0.000118591,0.000118591
10,2538.05,1.9235,1.55517,1.54076,0.54418,0.33025,0.36937,0.16703,1.96191,3.02853,1.52697,2.14014e-05,2.14014e-05,2.14014e-05
6,1570.78,1.97847,1.6086,1.57659,0.52516,0.31751,0.34989,0.15192,2.00932,3.09267,1.56112,9.91534e-05,9.91534e-05,9.91534e-05
7,1799.6,1.95358,1.58579,1.56622,0.53986,0.32337,0.35753,0.15824,1.9811,3.08933,1.54118,7.97154e-05,7.97154e-05,7.97154e-05
8,2028.1,1.94233,1.57138,1.55146,0.53811,0.32994,0.36509,0.16281,1.97716,3.10987,1.53929,6.02774e-05,6.02774e-05,6.02774e-05
9,2274.17,1.92767,1.55955,1.54321,0.54824,0.32957,0.36959,0.16664,1.96485,3.08006,1.53279,4.08394e-05,4.08394e-05,4.08394e-05
10,2511.95,1.9235,1.55517,1.54076,0.54418,0.33025,0.36937,0.16703,1.96191,3.02853,1.52697,2.14014e-05,2.14014e-05,2.14014e-05
