epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,315.033,1.65135,4.60891,1.70641,0.42206,0.19678,0.21235,0.07707,1.88096,7.06787,1.99255,0.000771542,0.000771542,0.0758
2,575.782,1.57577,4.09256,1.66971,0.55546,0.32242,0.35773,0.13614,1.63281,15.1303,1.74745,0.00139111,0.00139111,0.0514196
3,839.347,1.5218,3.82513,1.62536,0.62048,0.4101,0.46143,0.18394,1.57368,8.34291,1.62934,0.00185774,0.00185774,0.0268862
4,1107.3,1.46894,3.58699,1.58075,0.69015,0.44976,0.52203,0.22614,1.54259,5.68018,1.622,0.00217143,0.00217143,0.00219991
5,1345.86,1.41192,3.29306,1.52449,0.7296,0.53162,0.6181,0.28653,1.37535,4.51535,1.48751,0.00186617,0.00186617,0.00186617
6,1574.51,1.34369,3.02239,1.47086,0.75273,0.57832,0.67397,0.32024,1.32531,4.68677,1.44711,0.00156029,0.00156029,0.00156029
7,1835.56,1.27968,2.78918,1.41772,0.79934,0.62673,0.73612,0.38086,1.24175,3.20934,1.37992,0.00125441,0.00125441,0.00125441
8,2101.65,1.22636,2.57261,1.36664,0.82054,0.66104,0.77059,0.41589,1.19123,2.99414,1.32208,0.000948534,0.000948534,0.000948534
9,2367.24,1.17014,2.38355,1.32358,0.84117,0.68394,0.79537,0.44504,1.149,2.69273,1.29615,0.000642655,0.000642655,0.000642655
10,2629.96,1.12083,2.22531,1.28334,0.8584,0.70037,0.81496,0.46378,1.12149,2.55974,1.26528,0.000336776,0.000336776,0.000336776
