epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss
92,0.9239903092384338,0.5511182546615601,0.925148069858551,0.95104,0.92698,0.96572,0.73342,0.93746,0.5021,0.9588
93,1.0322542190551758,0.49687930941581726,1.0021511316299438,0.95202,0.92655,0.96599,0.73435,0.93575,0.50116,0.95836
94,0.920795202255249,0.5055201053619385,0.990554928779602,0.95281,0.92642,0.96622,0.73531,0.93425,0.50005,0.95791
95,0.9962953329086304,0.4859868288040161,0.9257122278213501,0.95338,0.92579,0.9662,0.73572,0.93245,0.49865,0.95728
96,0.9950911402702332,0.5124940276145935,1.024835467338562,0.95514,0.92532,0.96646,0.73606,0.9307,0.49748,0.95663
97,0.8937280178070068,0.48125991225242615,0.9409541487693787,0.95281,0.92736,0.96662,0.73675,0.92831,0.49618,0.95576
98,1.1325324773788452,0.5670578479766846,1.005373239517212,0.95593,0.92559,0.96646,0.7372,0.92635,0.49518,0.95503
99,1.0182594060897827,0.44502967596054077,1.0362955331802368,0.9559,0.92664,0.96657,0.73792,0.92521,0.49397,0.95448
100,0.9966554641723633,0.5524515509605408,0.9414013624191284,0.95524,0.92668,0.9667,0.73899,0.92374,0.49327,0.95398
101,1.0158438682556152,0.646869957447052,1.030806541442871,0.95553,0.92722,0.96703,0.73922,0.92181,0.49233,0.95317
102,0.9890959858894348,0.4762250781059265,0.9796323180198669,0.95529,0.92722,0.96714,0.74001,0.92013,0.49182,0.9527
103,0.9395220279693604,0.5018402934074402,0.9522128105163574,0.95481,0.92804,0.96711,0.74039,0.91884,0.49042,0.95217
104,0.9061554670333862,0.45900437235832214,0.9087406396865845,0.95555,0.92777,0.96754,0.7405,0.91778,0.48966,0.95162
105,0.9606401920318604,0.47249895334243774,0.9588992595672607,0.95454,0.92918,0.96756,0.74072,0.91579,0.4887,0.95122
106,1.0467708110809326,0.5057507753372192,0.9868618249893188,0.95565,0.92852,0.96742,0.74138,0.91473,0.48799,0.95057
107,1.1757010221481323,0.541573166847229,1.1132781505584717,0.95505,0.92947,0.96778,0.74216,0.91379,0.48821,0.94982
108,1.0367852449417114,0.5479406714439392,1.0161406993865967,0.95431,0.93008,0.96768,0.74285,0.91282,0.48725,0.9493
109,1.031113624572754,0.5796898007392883,0.8932770490646362,0.954,0.93037,0.96804,0.74339,0.91163,0.48624,0.94894
110,0.9771203398704529,0.5261821746826172,0.9392672777175903,0.9555,0.92975,0.96817,0.74395,0.91055,0.48511,0.94866
111,0.7710926532745361,0.428587943315506,0.9177370071411133,0.95647,0.92902,0.96807,0.74438,0.90916,0.48489,0.94811
112,1.0443172454833984,0.5395881533622742,0.9480777382850647,0.95691,0.92865,0.96795,0.74472,0.90832,0.48378,0.94754
113,0.8961514234542847,0.520259439945221,0.947436511516571,0.95664,0.92886,0.96811,0.74524,0.90743,0.48368,0.94727
114,1.1384989023208618,0.5610991716384888,0.9935118556022644,0.95718,0.92886,0.96824,0.74595,0.90582,0.48281,0.94657
115,1.0293742418289185,0.6831321120262146,0.9511677026748657,0.95581,0.92974,0.96798,0.74619,0.90438,0.48242,0.94565
116,1.057390809059143,0.4766756594181061,0.9827530384063721,0.95694,0.92888,0.96815,0.74595,0.90316,0.48178,0.94523
117,1.0321670770645142,0.5090041160583496,0.9519866108894348,0.95682,0.92936,0.96836,0.74697,0.90166,0.48142,0.94466
118,0.8099852204322815,0.4810042381286621,0.9490079283714294,0.95671,0.9297,0.96844,0.74712,0.90097,0.48151,0.94438
119,0.8151899576187134,0.4925711750984192,0.937508225440979,0.95602,0.93083,0.96842,0.74761,0.90016,0.48112,0.94409
120,1.0002127885818481,0.5265386700630188,0.9711697101593018,0.95616,0.93099,0.96853,0.74795,0.8994,0.4805,0.94368
121,0.8865785598754883,0.4890212416648865,0.9105503559112549,0.95592,0.93145,0.96827,0.74816,0.89852,0.47969,0.94299
122,0.8566856384277344,0.4384370744228363,0.9436181783676147,0.95508,0.93226,0.96849,0.74879,0.89755,0.47916,0.94267
123,0.8489354848861694,0.5484141707420349,0.9324479103088379,0.95464,0.93282,0.96874,0.74942,0.89703,0.47898,0.94238
124,0.8937947154045105,0.5349754691123962,0.9475273489952087,0.95495,0.9322,0.96861,0.74976,0.89648,0.47992,0.94207
125,0.8813487887382507,0.4370022714138031,0.9441609382629395,0.95595,0.93199,0.96878,0.74999,0.89527,0.47966,0.94167
126,1.0983331203460693,0.5416122674942017,0.9719122052192688,0.95635,0.93222,0.96897,0.75006,0.89471,0.47931,0.94124
127,0.8520290851593018,0.45163166522979736,0.9283632040023804,0.95731,0.93138,0.96911,0.75077,0.89369,0.47892,0.94071
128,1.024773359298706,0.5309779047966003,0.9793779850006104,0.95628,0.93207,0.96928,0.75158,0.89282,0.47851,0.94037
129,0.9636211395263672,0.5981239080429077,0.930324912071228,0.9557,0.93266,0.96887,0.75174,0.89259,0.47835,0.94024
130,1.0446492433547974,0.5704704523086548,0.9505007266998291,0.95721,0.93233,0.96916,0.75218,0.89165,0.47785,0.93987
131,0.9376076459884644,0.4932734966278076,0.9903579950332642,0.9567,0.93308,0.96941,0.75244,0.89069,0.47653,0.93971
132,0.9518771171569824,0.5141971111297607,0.9495229125022888,0.95718,0.93275,0.96937,0.75215,0.88995,0.47653,0.93948
133,0.9394232630729675,0.4811590015888214,0.9632580280303955,0.95737,0.93255,0.96938,0.75273,0.88949,0.47605,0.93916
134,0.7938160300254822,0.42291003465652466,0.9248056411743164,0.95753,0.93267,0.96965,0.75304,0.88868,0.47619,0.9388
135,0.8813666105270386,0.5150078535079956,0.9197652339935303,0.95517,0.93424,0.96945,0.75346,0.88738,0.47591,0.93835
136,1.1098886728286743,0.5860333442687988,0.9601092338562012,0.95425,0.93471,0.96938,0.75354,0.88692,0.47552,0.93815
137,0.997661292552948,0.496604323387146,0.9283027648925781,0.95454,0.93526,0.96927,0.75368,0.88612,0.47482,0.93762
138,0.8536606431007385,0.428903192281723,0.9293340444564819,0.95548,0.93533,0.96959,0.75417,0.885,0.47358,0.93719
139,1.072251558303833,0.5980473160743713,0.9614980220794678,0.95667,0.93512,0.9698,0.75465,0.88423,0.47337,0.93692
140,0.9030783176422119,0.49767962098121643,0.8543171882629395,0.95614,0.93519,0.96961,0.75494,0.88308,0.47239,0.93656
141,0.8986003994941711,0.41765400767326355,0.9397697448730469,0.95601,0.93503,0.96944,0.75547,0.8822,0.4716,0.93622
142,1.0291447639465332,0.470943421125412,0.9927153587341309,0.95638,0.93588,0.96937,0.75548,0.881,0.47085,0.93593
143,0.927688479423523,0.49276745319366455,0.9571818113327026,0.95792,0.9345,0.96921,0.75606,0.87932,0.46965,0.93522
144,0.7745450139045715,0.4143705666065216,0.9342374801635742,0.9578,0.93491,0.96935,0.75631,0.87824,0.46932,0.935
145,1.067986011505127,0.578982412815094,1.0298165082931519,0.95786,0.93451,0.96928,0.75675,0.87762,0.46928,0.9347
146,1.1033552885055542,0.5134167671203613,1.036561131477356,0.95819,0.9343,0.9693,0.75736,0.87669,0.46795,0.93426
147,0.9987883567810059,0.5280248522758484,0.9997169971466064,0.95757,0.93464,0.96937,0.75745,0.87679,0.46745,0.93415
148,1.1494680643081665,0.6571484208106995,1.0396958589553833,0.95769,0.9343,0.96992,0.75781,0.87614,0.46696,0.93378
149,0.9595475196838379,0.48405003547668457,0.9844847917556763,0.95901,0.93349,0.96982,0.75768,0.87619,0.4671,0.93376
150,0.8807939291000366,0.40247026085853577,0.9036181569099426,0.95954,0.93312,0.97008,0.75803,0.87551,0.46694,0.9335
151,1.0040333271026611,0.4885580241680145,0.984275758266449,0.9596,0.93305,0.97016,0.75829,0.87463,0.46648,0.9331
152,0.8187947869300842,0.4994432330131531,0.9315084218978882,0.95908,0.93376,0.97026,0.75844,0.87417,0.46692,0.93276
153,0.8767697215080261,0.41808637976646423,0.9367520213127136,0.95866,0.9346,0.97025,0.75867,0.87419,0.46701,0.93251
154,0.9126351475715637,0.4583454728126526,0.9398437738418579,0.95892,0.93443,0.96987,0.75887,0.87343,0.46613,0.93215
155,0.913536787033081,0.4930568337440491,0.9489132165908813,0.95872,0.93478,0.96991,0.7588,0.8732,0.46544,0.932
156,0.9038777947425842,0.5280379056930542,0.9016820192337036,0.95737,0.93723,0.97037,0.75923,0.87318,0.46493,0.93197
157,0.8677499294281006,0.5506120920181274,0.9397202730178833,0.95648,0.93802,0.9701,0.75933,0.87314,0.46508,0.93198
158,0.9051912426948547,0.48740434646606445,0.9310939908027649,0.95838,0.93582,0.97006,0.76009,0.87272,0.46457,0.93173
159,1.0483753681182861,0.5680689811706543,0.9886378049850464,0.9585,0.93558,0.96977,0.76039,0.87169,0.46418,0.93152
160,0.8392922878265381,0.4041963219642639,0.9495769739151001,0.9578,0.93637,0.96994,0.76057,0.87082,0.46343,0.93114
161,0.9389911890029907,0.42848941683769226,0.9918696880340576,0.95643,0.93723,0.97038,0.76055,0.87037,0.46276,0.931
162,0.7773306369781494,0.4565911293029785,0.9216881990432739,0.95824,0.93587,0.97031,0.76077,0.86939,0.46205,0.93079
163,0.9314862489700317,0.47630253434181213,0.9271756410598755,0.9591,0.93594,0.97029,0.76126,0.86901,0.46129,0.93052
164,0.9631407856941223,0.48210957646369934,0.9672800302505493,0.95937,0.93573,0.97014,0.7615,0.86836,0.46053,0.93015
165,1.0141507387161255,0.4973146617412567,0.9314342737197876,0.95952,0.93588,0.97022,0.76155,0.86801,0.45955,0.93038
166,0.8585163950920105,0.4439426064491272,0.9192422032356262,0.95919,0.93603,0.97048,0.76227,0.86723,0.45939,0.93019
167,0.9394932985305786,0.47811320424079895,0.9151298999786377,0.95982,0.93513,0.97044,0.76219,0.86688,0.45978,0.92993
168,0.7989588379859924,0.4383372664451599,0.9119688272476196,0.95942,0.93509,0.97043,0.76225,0.86658,0.45898,0.92985
169,0.7760934829711914,0.4270475506782532,0.9037789106369019,0.96022,0.93509,0.97087,0.76251,0.86626,0.45896,0.92959
170,0.950393795967102,0.43164557218551636,0.9252955913543701,0.96031,0.93553,0.97088,0.76267,0.86527,0.45951,0.92946
171,1.0746592283248901,0.5322554111480713,0.9968961477279663,0.96143,0.93492,0.97081,0.76309,0.86515,0.45916,0.92933
172,0.798934280872345,0.39365139603614807,0.9210182428359985,0.96175,0.93546,0.97084,0.76321,0.86488,0.45791,0.92919
173,0.8634027242660522,0.38906461000442505,0.877290666103363,0.9616,0.93601,0.97068,0.76299,0.86403,0.45742,0.92885
174,0.7945747375488281,0.4700067639350891,0.901404619216919,0.9597,0.93764,0.97098,0.76333,0.86356,0.45704,0.92849
175,0.8561431169509888,0.42883723974227905,0.9568337202072144,0.95907,0.93784,0.9709,0.76401,0.8628,0.45649,0.92803
176,0.9317970871925354,0.4298946261405945,0.968449592590332,0.95987,0.93787,0.97093,0.76414,0.86224,0.4556,0.92766
177,0.9430340528488159,0.4634709358215332,0.982347846031189,0.96032,0.93739,0.9709,0.76414,0.86164,0.45533,0.92728
178,0.7539816498756409,0.40237048268318176,0.8691825866699219,0.96089,0.93669,0.97119,0.7644,0.86084,0.45525,0.92718
179,0.8213486075401306,0.4658823311328888,0.9623987674713135,0.96285,0.93518,0.97127,0.76468,0.86036,0.45467,0.92709
180,0.8730184435844421,0.40345707535743713,0.9115194082260132,0.95991,0.93662,0.97129,0.76563,0.86022,0.45453,0.92707
181,1.0427888631820679,0.5325467586517334,0.9731930494308472,0.95937,0.93711,0.97109,0.76569,0.85917,0.45446,0.92677
182,0.7733411192893982,0.43334177136421204,0.9015504121780396,0.95686,0.9405,0.97113,0.7665,0.85823,0.45461,0.9265
183,0.7783408164978027,0.3955288827419281,0.9468017220497131,0.95715,0.94002,0.97153,0.76645,0.85769,0.45381,0.92628
184,0.8611657619476318,0.6169331669807434,0.8859384059906006,0.95855,0.9388,0.97136,0.76624,0.85699,0.45298,0.9262
185,0.8706061244010925,0.4072686731815338,0.9190025329589844,0.96097,0.93696,0.97105,0.76622,0.85657,0.45283,0.92626
186,0.7942720651626587,0.39530298113822937,0.894005298614502,0.95932,0.93913,0.97108,0.76682,0.85625,0.45281,0.92618
187,0.8451160192489624,0.46989741921424866,0.9229772090911865,0.95996,0.93847,0.9709,0.76684,0.85596,0.45229,0.9261
188,0.9306535124778748,0.4634014368057251,0.9389885663986206,0.95964,0.93896,0.97089,0.76709,0.85501,0.4517,0.92589
189,0.9480606317520142,0.4845266342163086,0.9369819164276123,0.96033,0.93819,0.97078,0.76741,0.85458,0.45111,0.92568
190,0.786563515663147,0.40734073519706726,0.9001026749610901,0.95997,0.93879,0.97119,0.76778,0.85403,0.45153,0.92554
191,0.8698134422302246,0.4914851188659668,0.9058647751808167,0.95927,0.93853,0.97094,0.76787,0.85358,0.45137,0.92519
192,0.7758955359458923,0.41964656114578247,0.9228349328041077,0.95976,0.93921,0.97174,0.76867,0.85326,0.45088,0.92504
193,0.8616018891334534,0.4382619559764862,0.8985826969146729,0.95989,0.93995,0.97165,0.76869,0.85222,0.45024,0.92472
194,0.9979695081710815,0.47207769751548767,0.9513559341430664,0.96002,0.93989,0.97183,0.76883,0.8524,0.44986,0.92461
195,0.9478462934494019,0.4486488997936249,0.9376385807991028,0.96174,0.93771,0.97174,0.76855,0.85184,0.4496,0.92443
196,0.9624273180961609,0.5023084282875061,0.9288042783737183,0.96164,0.93771,0.97161,0.76904,0.85125,0.44925,0.92433
197,1.0194973945617676,0.5937027931213379,0.9840518236160278,0.95922,0.93988,0.97152,0.76964,0.85038,0.44924,0.92409
198,0.9511672258377075,0.5328448414802551,0.9673386812210083,0.95922,0.93982,0.97165,0.7696,0.85067,0.44888,0.92395
199,0.8472074270248413,0.4239945113658905,0.9242514967918396,0.95901,0.93968,0.97172,0.77029,0.8498,0.4484,0.92365
200,0.7642624378204346,0.41143861413002014,0.9560288190841675,0.95978,0.93968,0.97174,0.76995,0.84968,0.44869,0.92331
201,0.8201622366905212,0.4614764451980591,0.9111336469650269,0.96001,0.93984,0.97188,0.76987,0.84947,0.44839,0.92316
202,0.7048707604408264,0.3692609965801239,0.8813667297363281,0.96141,0.93893,0.97217,0.77034,0.84936,0.44836,0.92294
203,1.0563533306121826,0.47271519899368286,0.991804838180542,0.96033,0.93975,0.97209,0.77067,0.84767,0.44776,0.92266
204,0.9535816311836243,0.591616153717041,0.9522809386253357,0.961,0.93866,0.972,0.77099,0.84644,0.44746,0.92239
205,0.7210699915885925,0.4521690309047699,0.8948994874954224,0.96233,0.9375,0.97203,0.77116,0.84564,0.44818,0.92227
206,0.8477738499641418,0.38929057121276855,0.8826404213905334,0.96202,0.93819,0.97205,0.77089,0.84507,0.44752,0.9222
207,0.8622188568115234,0.555401623249054,0.9221311807632446,0.96242,0.93808,0.97201,0.77098,0.84453,0.44735,0.92208
208,0.9214406609535217,0.4552331864833832,0.9446852803230286,0.96339,0.93771,0.97202,0.77132,0.84382,0.44741,0.92169
209,0.8540640473365784,0.4359586536884308,0.9297089576721191,0.96307,0.9375,0.97185,0.77166,0.8432,0.44708,0.92156
210,0.8557797074317932,0.4548676013946533,0.9526888132095337,0.9646,0.93667,0.97181,0.77191,0.84255,0.44704,0.92149
211,0.9031676650047302,0.4404327869415283,0.9652595520019531,0.96419,0.93737,0.97199,0.77218,0.84253,0.44688,0.92145
212,0.9931163787841797,0.46216681599617004,0.9393513202667236,0.96484,0.93592,0.97211,0.77239,0.84327,0.44718,0.92155
213,0.9690747261047363,0.5011886954307556,0.8857982754707336,0.96265,0.93874,0.97208,0.77267,0.84303,0.44633,0.92143
214,0.9074461460113525,0.4315865635871887,0.9820005297660828,0.96317,0.93822,0.97214,0.77257,0.84355,0.44643,0.92132
215,0.7408249378204346,0.40536388754844666,0.9387249946594238,0.96192,0.93927,0.97184,0.77246,0.84343,0.44607,0.92131
216,0.7509646415710449,0.40711936354637146,0.9458261132240295,0.9624,0.93928,0.97177,0.7731,0.84269,0.4454,0.92115
217,0.8287217617034912,0.5088663697242737,0.9074776768684387,0.96314,0.93921,0.97213,0.77331,0.8421,0.44545,0.92102
218,0.8693240880966187,0.43842318654060364,0.952449381351471,0.96317,0.93921,0.97214,0.77353,0.84167,0.44439,0.9208
219,0.8190900683403015,0.46613070368766785,0.9459799528121948,0.96204,0.94024,0.97211,0.7735,0.8416,0.4444,0.92071
220,0.9437808394432068,0.4451182186603546,0.9431601762771606,0.96366,0.93866,0.97213,0.77369,0.84195,0.44394,0.92086
221,0.9444819092750549,0.5070053339004517,0.9886091947555542,0.96495,0.93707,0.97198,0.77362,0.84176,0.44357,0.92073
222,0.7258242964744568,0.37761110067367554,0.8967227935791016,0.96473,0.93825,0.97227,0.77375,0.84119,0.44357,0.9207
223,0.986395001411438,0.6033502221107483,0.9547635316848755,0.96284,0.93941,0.97222,0.77422,0.84141,0.44365,0.92054
224,0.7962326407432556,0.4114736318588257,0.9237037897109985,0.96335,0.93873,0.9722,0.77414,0.84133,0.44377,0.92041
225,0.8511233329772949,0.5080878138542175,0.9160911440849304,0.9631,0.93921,0.9722,0.77483,0.8405,0.44366,0.92011
226,0.6572770476341248,0.3755697011947632,0.8771393299102783,0.96345,0.93948,0.97219,0.77469,0.83946,0.44313,0.9199
227,0.7930249571800232,0.4601956903934479,0.9040701985359192,0.96174,0.94091,0.97236,0.77488,0.83923,0.44283,0.91967
228,0.8853484392166138,0.4363913834095001,0.9176551103591919,0.96229,0.94002,0.97211,0.77501,0.83823,0.44267,0.91944
229,0.7861948013305664,0.4048405587673187,0.898459792137146,0.96095,0.94132,0.97207,0.77521,0.83829,0.44297,0.91944
