epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,422.712,2.23218,2.78242,1.80444,0.48937,0.31003,0.3299,0.12713,1.93409,5.98853,1.54429,0.000188944,0.000188944,0.0802003
2,781.415,1.99797,1.9827,1.62375,0.57701,0.3666,0.41055,0.17024,1.83368,4.18622,1.45488,0.000340574,0.000340574,0.060352
3,1072.08,1.8954,1.80761,1.54465,0.62436,0.41709,0.47948,0.21367,1.74325,3.99486,1.40378,0.000454771,0.000454771,0.0404662
4,1352.7,1.83426,1.71232,1.49903,0.6407,0.44509,0.51675,0.23594,1.70033,4.37388,1.37337,0.000531537,0.000531537,0.0205429
5,1655.62,1.78741,1.63332,1.4619,0.67456,0.4816,0.55774,0.26533,1.641,3.45946,1.3282,0.00057087,0.00057087,0.00058226
6,1952.31,1.73666,1.56718,1.42968,0.70085,0.49346,0.58597,0.2853,1.60158,3.07471,1.29264,0.000477355,0.000477355,0.000477355
7,2249.39,1.68883,1.50405,1.39568,0.70663,0.51494,0.61129,0.30514,1.54565,2.89515,1.26388,0.000383774,0.000383774,0.000383774
8,2544.2,1.64396,1.45567,1.37157,0.72759,0.52345,0.62941,0.3175,1.52136,2.81313,1.24958,0.000290194,0.000290194,0.000290194
9,2839.02,1.61353,1.41977,1.34858,0.73478,0.53659,0.6435,0.32978,1.49865,2.70514,1.23652,0.000196613,0.000196613,0.000196613
10,3134.83,1.58502,1.38627,1.32988,0.73445,0.54397,0.64763,0.33509,1.48766,2.54467,1.22794,0.000103033,0.000103033,0.000103033
