epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,287.652,2.65057,2.54909,1.65359,0.51075,0.27122,0.29742,0.11264,2.9291,3.27582,1.86071,8.72701e-05,8.72701e-05,0.0667919
2,530.353,2.43655,2.13266,1.55038,0.61128,0.38583,0.44885,0.18764,2.59088,4.07671,1.62024,0.00015735,0.00015735,0.0335286
3,773.337,2.31447,1.94385,1.4861,0.66203,0.46579,0.528,0.22419,2.46152,5.24103,1.5389,0.000210131,0.000210131,0.000248097
4,1014.48,2.19636,1.79652,1.43612,0.70904,0.47879,0.58094,0.28591,2.1827,2.29846,1.41826,0.000184262,0.000184262,0.000184262
5,1255.52,2.10128,1.66042,1.37776,0.74572,0.56512,0.66598,0.33432,2.04101,3.03068,1.35825,0.000158314,0.000158314,0.000158314
6,1495.72,2.01334,1.56215,1.33443,0.76718,0.59146,0.69762,0.3633,1.97492,2.42333,1.31499,0.000132365,0.000132365,0.000132365
7,1732.99,1.93804,1.47575,1.3018,0.79068,0.61307,0.72892,0.39427,1.90329,1.78495,1.27869,0.000106416,0.000106416,0.000106416
8,1976.37,1.87368,1.40014,1.26435,0.82471,0.63462,0.75824,0.42269,1.82652,1.69881,1.24167,8.04674e-05,8.04674e-05,8.04674e-05
9,2214.56,1.80444,1.33307,1.23343,0.82507,0.65826,0.7758,0.44329,1.7712,1.57334,1.21519,5.45186e-05,5.45186e-05,5.45186e-05
10,2420.01,1.75652,1.28102,1.21082,0.83685,0.675,0.79112,0.45921,1.73858,1.54153,1.19432,2.85699e-05,2.85699e-05,2.85699e-05
