epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
7,1877.36,1.24463,3.21188,1.50712,0.65906,0.42208,0.50934,0.24066,1.24628,4.48367,1.47362,0.00104807,0.00104807,0.00104807
8,2071.9,1.20611,3.0652,1.46606,0.68295,0.43773,0.53497,0.25869,1.20292,3.98134,1.43632,0.000792503,0.000792503,0.000792503
9,2322.36,1.17154,2.94024,1.43473,0.70095,0.45013,0.55664,0.27951,1.17006,3.81929,1.41052,0.00053694,0.00053694,0.00053694
1,328.261,1.56856,4.74182,1.83432,0.08612,0.07618,0.02406,0.00705,1.89575,43.7024,2.30557,0.00128925,0.00128925,0.0513462
10,2585.32,1.14216,2.83813,1.40802,0.70926,0.46319,0.57256,0.28944,1.15914,3.77498,1.39444,0.000281377,0.000281377,0.000281377
2,586.472,1.50063,4.33615,1.77309,0.4246,0.23821,0.2323,0.08313,1.57702,12.7706,1.84684,0.00232456,0.00232456,0.0023815
3,792.374,1.43184,4.02838,1.6939,0.48395,0.24862,0.25872,0.09479,1.637,6.5629,1.83675,0.00207032,0.00207032,0.00207032
4,1040.64,1.38009,3.79198,1.63944,0.56916,0.33787,0.37039,0.15215,1.4086,5.51573,1.62893,0.00181475,0.00181475,0.00181475
5,1313.59,1.33156,3.56254,1.59199,0.6312,0.3587,0.42446,0.18409,1.38962,5.17142,1.6538,0.00155919,0.00155919,0.00155919
6,1579.58,1.28697,3.38231,1.54581,0.65802,0.3897,0.47193,0.21683,1.26334,5.20928,1.49645,0.00130363,0.00130363,0.00130363
7,1844.26,1.24463,3.21188,1.50712,0.65906,0.42208,0.50934,0.24066,1.24628,4.48367,1.47362,0.00104807,0.00104807,0.00104807
8,2108.16,1.20611,3.0652,1.46606,0.68295,0.43773,0.53497,0.25869,1.20292,3.98134,1.43632,0.000792503,0.000792503,0.000792503
9,2372.75,1.17154,2.94024,1.43473,0.70095,0.45013,0.55664,0.27951,1.17006,3.81929,1.41052,0.00053694,0.00053694,0.00053694
10,2633.65,1.14216,2.83813,1.40802,0.70926,0.46319,0.57256,0.28944,1.15914,3.77498,1.39444,0.000281377,0.000281377,0.000281377
