epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,277.721,1.24871,5.12219,1.67197,0.56848,0.11063,0.15005,0.05474,1.45269,8.81666,2.00979,3.58645e-05,3.58645e-05,0.0667405
2,490.02,1.14698,4.27736,1.54271,0.53894,0.31622,0.35707,0.14233,1.23489,6.888,1.60997,6.46646e-05,6.46646e-05,0.033436
3,747.614,1.07949,3.79827,1.45866,0.70616,0.48669,0.57184,0.25262,1.11362,5.02399,1.44969,8.63555e-05,8.63555e-05,0.000124321
4,1016.4,1.0268,3.41742,1.40328,0.73921,0.52761,0.63283,0.30287,1.05111,4.0491,1.41649,7.57244e-05,7.57244e-05,7.57244e-05
5,1284.84,0.98386,3.13059,1.35075,0.77816,0.57403,0.68832,0.34666,0.98838,3.71446,1.361,6.50605e-05,6.50605e-05,6.50605e-05
6,1557.27,0.95028,2.92982,1.31531,0.80269,0.61624,0.73311,0.37123,0.9657,4.00615,1.31958,5.43966e-05,5.43966e-05,5.43966e-05
7,1816.69,0.91945,2.76014,1.28652,0.8088,0.65586,0.7663,0.40675,0.92303,3.27094,1.27644,4.37327e-05,4.37327e-05,4.37327e-05
8,2080.5,0.89511,2.61877,1.25854,0.82087,0.66812,0.78276,0.42112,0.91072,3.344,1.26538,3.30688e-05,3.30688e-05,3.30688e-05
9,2344.92,0.87028,2.51366,1.23249,0.83903,0.6816,0.79886,0.44021,0.88316,3.04572,1.24126,2.24049e-05,2.24049e-05,2.24049e-05
10,2610.43,0.85007,2.43066,1.21638,0.84433,0.69392,0.81024,0.45213,0.87333,2.94259,1.23168,1.17411e-05,1.17411e-05,1.17411e-05
