epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,330.139,1.99399,6.79855,1.88093,0.3209,0.24644,0.19015,0.06813,2.16707,14.315,2.04849,0.00466271,0.00466271,0.0796912
2,577.523,1.91833,6.2533,1.84601,0.0404,0.19137,0.04851,0.01746,2.30047,13.0081,2.05511,0.008407,0.008407,0.0584355
3,840.608,1.86985,5.92158,1.79856,0.32023,0.18613,0.1514,0.05094,2.2038,18.111,1.98159,0.011227,0.011227,0.0362555
4,1039.74,1.81986,5.63916,1.75546,0.49223,0.13476,0.15736,0.05833,2.23541,10.6265,2.10357,0.0131228,0.0131228,0.0131512
5,1289.04,1.76402,5.27472,1.70374,0.63228,0.39513,0.45982,0.19352,1.73308,10.2258,1.65667,0.011278,0.011278,0.011278
6,1549.85,1.70225,4.96294,1.65263,0.68889,0.41099,0.488,0.2121,1.73147,7.77338,1.62228,0.00942942,0.00942942,0.00942942
7,1816.41,1.6472,4.64526,1.60755,0.71101,0.46075,0.53987,0.23204,1.68085,9.45044,1.57717,0.00758088,0.00758088,0.00758088
8,2086.73,1.59393,4.382,1.56375,0.76516,0.5159,0.62334,0.29484,1.55648,6.82254,1.51876,0.00573234,0.00573234,0.00573234
9,2356.89,1.53996,4.13166,1.52349,0.77708,0.55456,0.65622,0.31897,1.51746,5.75856,1.48117,0.0038838,0.0038838,0.0038838
10,2625.24,1.49439,3.91957,1.48806,0.7914,0.57458,0.68416,0.33893,1.48522,5.67603,1.4628,0.00203526,0.00203526,0.00203526
