epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,306.942,1.62809,4.58129,1.71098,0.16302,0.26836,0.13755,0.05435,1.8914,10.8756,2.02033,0.000715066,0.000715066,0.0757435
2,565.482,1.55076,4.00862,1.6566,0.51562,0.28852,0.31627,0.1256,1.73046,6.28238,1.85611,0.00128928,0.00128928,0.0513178
3,832.213,1.49459,3.72848,1.61687,0.6354,0.38709,0.4525,0.18921,1.55475,5.97405,1.63657,0.00172176,0.00172176,0.0267502
4,1102.82,1.44067,3.48703,1.5745,0.65917,0.38076,0.43172,0.18803,1.57323,12.548,1.69561,0.00201249,0.00201249,0.00204096
5,1357.82,1.37226,3.16418,1.51352,0.72752,0.52556,0.61593,0.28484,1.42969,4.10429,1.52043,0.00172957,0.00172957,0.00172957
6,1617.04,1.30313,2.87961,1.45466,0.77978,0.56518,0.67573,0.33755,1.29453,3.73801,1.43916,0.00144608,0.00144608,0.00144608
7,1817.34,1.23728,2.62509,1.40094,0.8088,0.63499,0.75027,0.39487,1.20485,3.0061,1.35538,0.00116259,0.00116259,0.00116259
8,2061.5,1.17926,2.4033,1.3528,0.8278,0.67642,0.78781,0.43151,1.16231,2.88099,1.32218,0.000879103,0.000879103,0.000879103
9,2318.17,1.11944,2.20102,1.30394,0.85516,0.70379,0.8156,0.46239,1.11503,2.51686,1.28023,0.000595614,0.000595614,0.000595614
10,2580.22,1.06832,2.049,1.26442,0.86653,0.72469,0.83527,0.48372,1.08593,2.4298,1.25653,0.000312124,0.000312124,0.000312124
