epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
6,1602.87,1.1219,3.98538,1.54406,0.66153,0.39969,0.49215,0.23333,1.10109,5.32409,1.50883,0.00218758,0.00218758,0.00218758
7,1797.22,1.07989,3.72321,1.50272,0.69645,0.4468,0.54953,0.26521,1.0738,4.89465,1.46854,0.00175873,0.00175873,0.00175873
8,2046.76,1.04221,3.51401,1.46134,0.72439,0.47212,0.58286,0.29112,1.04366,4.58101,1.43989,0.00132988,0.00132988,0.00132988
1,328.883,1.3735,5.74444,1.83692,0.39381,0.24236,0.22843,0.0854,1.37623,17.2165,1.82454,0.0014423,0.0014423,0.0681469
9,2306.88,1.00633,3.32122,1.42333,0.73095,0.50058,0.60929,0.313,1.01332,4.08473,1.40274,0.000901024,0.000901024,0.000901024
2,594.261,1.31287,5.25217,1.77646,0.42908,0.16291,0.15795,0.05925,1.41651,34.6637,1.90069,0.00260051,0.00260051,0.0359718
10,2568.11,0.97641,3.16364,1.39104,0.75742,0.51508,0.63556,0.32987,0.99388,4.0236,1.38639,0.000472171,0.000472171,0.000472171
3,839.723,1.26952,4.95994,1.72001,0.4989,0.27422,0.29642,0.11278,1.33699,6.68466,1.78495,0.00347282,0.00347282,0.00351079
4,1043.5,1.21738,4.61323,1.6591,0.58251,0.31159,0.35549,0.14794,1.23095,6.21148,1.64436,0.00304529,0.00304529,0.00304529
5,1293.4,1.16709,4.26196,1.59773,0.61101,0.37273,0.44529,0.20116,1.15003,6.4933,1.55383,0.00261644,0.00261644,0.00261644
6,1554.06,1.1219,3.98538,1.54406,0.66153,0.39969,0.49215,0.23333,1.10109,5.32409,1.50883,0.00218758,0.00218758,0.00218758
7,1816.59,1.07989,3.72321,1.50272,0.69645,0.4468,0.54953,0.26521,1.0738,4.89465,1.46854,0.00175873,0.00175873,0.00175873
8,2079.69,1.04221,3.51401,1.46134,0.72439,0.47212,0.58286,0.29112,1.04366,4.58101,1.43989,0.00132988,0.00132988,0.00132988
9,2340.82,1.00633,3.32122,1.42333,0.73095,0.50058,0.60929,0.313,1.01332,4.08473,1.40274,0.000901024,0.000901024,0.000901024
10,2604.62,0.97641,3.16364,1.39104,0.75742,0.51508,0.63556,0.32987,0.99388,4.0236,1.38639,0.000472171,0.000472171,0.000472171
