epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7878.7,0.981,1.75949,1.13371,0.92259,0.80782,0.90154,0.57924,0.92915,1.83996,1.12573,0.00271824,0.00271824,0.00271824
43,8077.64,0.96922,1.73549,1.1251,0.92376,0.80918,0.90289,0.58061,0.92534,1.82718,1.1222,0.0027147,0.0027147,0.0027147
44,8278.49,0.97113,1.73801,1.12572,0.9245,0.81122,0.90335,0.58252,0.9215,1.81179,1.1188,0.00271115,0.00271115,0.00271115
45,8479.9,0.96783,1.72041,1.12444,0.92683,0.81314,0.90648,0.58541,0.91767,1.79696,1.11567,0.00270761,0.00270761,0.00270761
46,8668.97,0.95995,1.7087,1.11921,0.92813,0.81551,0.9064,0.58707,0.91377,1.78243,1.11262,0.00270406,0.00270406,0.00270406
47,8870.35,0.96073,1.70742,1.12118,0.92996,0.8162,0.90778,0.58915,0.91048,1.77056,1.11011,0.00270052,0.00270052,0.00270052
48,9074.46,0.95245,1.69106,1.11619,0.92977,0.81929,0.90894,0.59131,0.90712,1.75819,1.10708,0.00269698,0.00269698,0.00269698
49,9277.86,0.95367,1.69206,1.11632,0.93034,0.82097,0.91045,0.59354,0.90397,1.74347,1.10417,0.00269343,0.00269343,0.00269343
50,9479.98,0.95044,1.68216,1.11504,0.93186,0.82313,0.91179,0.59522,0.90035,1.7288,1.10137,0.00268989,0.00268989,0.00268989
51,9680.68,0.94754,1.67585,1.11473,0.93116,0.82483,0.91303,0.59796,0.89668,1.7162,1.09851,0.00268635,0.00268635,0.00268635
52,9884.63,0.94221,1.65443,1.11097,0.93216,0.82735,0.91466,0.60015,0.89344,1.70053,1.09567,0.0026828,0.0026828,0.0026828
53,10087.9,0.93932,1.65155,1.10661,0.93582,0.82899,0.91623,0.60236,0.89004,1.68633,1.09304,0.00267926,0.00267926,0.00267926
54,10288.6,0.93788,1.64642,1.10515,0.93621,0.82967,0.9172,0.60446,0.88651,1.6729,1.09038,0.00267572,0.00267572,0.00267572
55,10491.1,0.93342,1.63822,1.10477,0.93606,0.83239,0.91883,0.60651,0.88334,1.65895,1.08805,0.00267217,0.00267217,0.00267217
56,10693.9,0.9302,1.62681,1.10238,0.93699,0.83334,0.91976,0.60824,0.88035,1.64616,1.08592,0.00266863,0.00266863,0.00266863
57,10896.9,0.92805,1.61258,1.09852,0.93813,0.83511,0.92111,0.61018,0.87782,1.63098,1.08364,0.00266508,0.00266508,0.00266508
58,11101.6,0.92779,1.61548,1.09714,0.93638,0.83811,0.92347,0.61192,0.87579,1.61979,1.08153,0.00266154,0.00266154,0.00266154
59,11301.8,0.91847,1.59473,1.09074,0.93623,0.8406,0.92461,0.61381,0.87314,1.60773,1.07935,0.002658,0.002658,0.002658
60,11503,0.9207,1.59223,1.09192,0.93504,0.84463,0.92552,0.61607,0.87046,1.596,1.07737,0.00265445,0.00265445,0.00265445
61,11704.4,0.91825,1.59208,1.09431,0.93644,0.84655,0.927,0.618,0.8678,1.58586,1.07541,0.00265091,0.00265091,0.00265091
62,11907.8,0.91937,1.58585,1.09442,0.9374,0.84916,0.92777,0.61958,0.8653,1.57531,1.07366,0.00264737,0.00264737,0.00264737
63,12110,0.90962,1.56788,1.08787,0.93897,0.85151,0.92905,0.62115,0.863,1.56428,1.07179,0.00264382,0.00264382,0.00264382
64,12313.8,0.90952,1.57129,1.08611,0.93815,0.85384,0.93018,0.62252,0.86058,1.55516,1.07019,0.00264028,0.00264028,0.00264028
65,12513.8,0.90704,1.56185,1.08525,0.93912,0.85493,0.93087,0.62416,0.85838,1.54444,1.06817,0.00263674,0.00263674,0.00263674
66,12711.2,0.91061,1.56159,1.08716,0.94013,0.8554,0.9316,0.62557,0.85574,1.53383,1.06607,0.00263319,0.00263319,0.00263319
67,12911.3,0.9053,1.55389,1.08555,0.9406,0.85731,0.93229,0.62646,0.85265,1.52501,1.06431,0.00262965,0.00262965,0.00262965
68,13111,0.90266,1.54917,1.08216,0.94133,0.85949,0.93304,0.62845,0.84989,1.51671,1.06242,0.0026261,0.0026261,0.0026261
69,13311.4,0.89771,1.53954,1.07943,0.93989,0.86105,0.93375,0.63046,0.84742,1.50886,1.06063,0.00262256,0.00262256,0.00262256
70,13512.4,0.89563,1.53528,1.07739,0.94047,0.86303,0.93459,0.63198,0.84484,1.50067,1.05874,0.00261902,0.00261902,0.00261902
71,13711.3,0.89502,1.5254,1.07754,0.93906,0.86561,0.93528,0.63313,0.84291,1.49212,1.05721,0.00261547,0.00261547,0.00261547
72,13913.6,0.89438,1.53201,1.07442,0.93903,0.86704,0.93581,0.63442,0.84111,1.48543,1.05578,0.00261193,0.00261193,0.00261193
73,14117.2,0.89141,1.51333,1.07931,0.93898,0.86845,0.93637,0.63568,0.84023,1.47852,1.05481,0.00260839,0.00260839,0.00260839
74,14318.3,0.88806,1.51518,1.07208,0.93953,0.87048,0.93678,0.63647,0.83913,1.47252,1.05371,0.00260484,0.00260484,0.00260484
75,14522.7,0.88824,1.51062,1.07342,0.94169,0.86969,0.93707,0.63746,0.83765,1.46479,1.0525,0.0026013,0.0026013,0.0026013
76,14724.8,0.88447,1.50485,1.06872,0.94101,0.87092,0.93783,0.63906,0.83604,1.45735,1.05098,0.00259776,0.00259776,0.00259776
77,14928.9,0.88347,1.50592,1.069,0.9394,0.87375,0.93849,0.64048,0.83417,1.44947,1.0494,0.00259421,0.00259421,0.00259421
78,15130.4,0.87772,1.49338,1.06583,0.9413,0.87451,0.93912,0.6414,0.8327,1.44372,1.048,0.00259067,0.00259067,0.00259067
79,15330.5,0.88133,1.4936,1.06795,0.93919,0.87678,0.93934,0.64231,0.8314,1.43907,1.04692,0.00258713,0.00258713,0.00258713
80,15531.6,0.87803,1.49182,1.06365,0.93834,0.87746,0.93912,0.64253,0.82999,1.4337,1.04581,0.00258358,0.00258358,0.00258358
81,15730.9,0.87769,1.48846,1.0641,0.93988,0.87705,0.93947,0.64381,0.8287,1.42797,1.04457,0.00258004,0.00258004,0.00258004
82,15930.7,0.87229,1.47395,1.06193,0.94068,0.87666,0.93974,0.64471,0.82712,1.42057,1.04332,0.00257649,0.00257649,0.00257649
83,16130.9,0.87317,1.47424,1.0616,0.93919,0.88018,0.94043,0.64554,0.82523,1.41418,1.04203,0.00257295,0.00257295,0.00257295
84,16332.5,0.87298,1.48199,1.06409,0.93729,0.88209,0.94058,0.64612,0.82339,1.41089,1.04053,0.00256941,0.00256941,0.00256941
85,16533.3,0.86798,1.46472,1.05955,0.93888,0.88277,0.94084,0.64711,0.82094,1.40637,1.03906,0.00256586,0.00256586,0.00256586
86,16731.2,0.86714,1.46364,1.05821,0.94002,0.88311,0.94125,0.64795,0.82018,1.40343,1.0381,0.00256232,0.00256232,0.00256232
87,16932.3,0.86587,1.45576,1.0577,0.93958,0.88287,0.94147,0.64869,0.81909,1.39746,1.03706,0.00255878,0.00255878,0.00255878
88,17133.9,0.87064,1.46351,1.06042,0.9409,0.88224,0.94181,0.64947,0.81812,1.39344,1.03638,0.00255523,0.00255523,0.00255523
89,17334.5,0.86455,1.45618,1.05517,0.93979,0.8857,0.94241,0.65023,0.81696,1.38866,1.03557,0.00255169,0.00255169,0.00255169
90,17536.6,0.86133,1.44853,1.0559,0.93995,0.88667,0.94257,0.65165,0.81539,1.38469,1.03476,0.00254815,0.00254815,0.00254815
91,17737.9,0.86389,1.45501,1.05931,0.94125,0.88651,0.94311,0.65205,0.81431,1.38186,1.03412,0.0025446,0.0025446,0.0025446
92,17940.1,0.85835,1.43847,1.05555,0.94047,0.88611,0.94299,0.65211,0.81372,1.3776,1.0338,0.00254106,0.00254106,0.00254106
93,18141.3,0.86208,1.44815,1.05269,0.94179,0.88604,0.94354,0.65326,0.81236,1.37219,1.03289,0.00253751,0.00253751,0.00253751
94,18344.3,0.85437,1.43455,1.0526,0.94108,0.88685,0.9437,0.65401,0.81091,1.36883,1.03208,0.00253397,0.00253397,0.00253397
95,18544.6,0.854,1.42734,1.05103,0.94175,0.88713,0.94428,0.65504,0.80942,1.36416,1.03103,0.00253043,0.00253043,0.00253043
96,18742.7,0.85467,1.42799,1.04961,0.94144,0.88896,0.94474,0.65573,0.80863,1.36191,1.03028,0.00252688,0.00252688,0.00252688
97,18942.9,0.85326,1.42433,1.05081,0.94182,0.8893,0.94531,0.65601,0.80798,1.35762,1.02972,0.00252334,0.00252334,0.00252334
98,19143.7,0.85336,1.42366,1.05078,0.94199,0.88992,0.94544,0.65674,0.80687,1.35326,1.02876,0.0025198,0.0025198,0.0025198
99,19343.5,0.8513,1.41514,1.04619,0.94239,0.89039,0.94569,0.65722,0.80603,1.34922,1.02774,0.00251625,0.00251625,0.00251625
100,19543.2,0.84674,1.40977,1.04591,0.94296,0.89148,0.94597,0.65776,0.80477,1.34535,1.02665,0.00251271,0.00251271,0.00251271
101,19743.4,0.84822,1.41697,1.04776,0.94212,0.89107,0.94568,0.65821,0.80418,1.34322,1.02604,0.00250917,0.00250917,0.00250917
102,19943.2,0.84991,1.41178,1.04911,0.94431,0.88992,0.94606,0.65884,0.80324,1.33869,1.02507,0.00250562,0.00250562,0.00250562
103,20143.6,0.84283,1.40096,1.04567,0.94383,0.89107,0.94645,0.6587,0.80324,1.3368,1.02523,0.00250208,0.00250208,0.00250208
104,20343.5,0.84923,1.40876,1.04744,0.94275,0.8912,0.94603,0.65837,0.8041,1.33553,1.02559,0.00249853,0.00249853,0.00249853
105,20544.7,0.84055,1.39235,1.04481,0.94357,0.89162,0.94607,0.65874,0.80313,1.33345,1.02516,0.00249499,0.00249499,0.00249499
106,20745.1,0.83953,1.39107,1.04578,0.94185,0.89316,0.94616,0.6597,0.80289,1.33036,1.02479,0.00249145,0.00249145,0.00249145
107,20945.2,0.84163,1.39248,1.04123,0.94219,0.89319,0.94594,0.65914,0.80267,1.32995,1.02448,0.0024879,0.0024879,0.0024879
