epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss
19,1.1058098077774048,2.1930363178253174,1.2285895347595215,0.87635,0.762,0.85712,0.50999,1.04153,2.28647,1.22221
20,1.0543243885040283,1.889273762702942,1.136642575263977,0.87583,0.76751,0.86025,0.51383,1.03587,2.24222,1.21606
21,1.049494743347168,2.0445449352264404,1.170655369758606,0.87843,0.77426,0.86387,0.51836,1.02795,2.20339,1.20892
22,1.2430446147918701,2.2986838817596436,1.278743028640747,0.88256,0.7765,0.86676,0.52246,1.02023,2.17646,1.20333
23,1.178526520729065,2.3677239418029785,1.3207778930664062,0.88569,0.7812,0.86949,0.52638,1.0143,2.14898,1.19815
24,1.0903722047805786,2.1110730171203613,1.1978471279144287,0.88905,0.78365,0.87184,0.53007,1.00832,2.12475,1.19343
25,0.9131438136100769,1.791025996208191,1.0821568965911865,0.89139,0.78505,0.87387,0.53261,1.0034,2.1085,1.18904
26,1.1108406782150269,1.9782156944274902,1.1061768531799316,0.89235,0.78739,0.876,0.53532,0.99814,2.08749,1.1847
27,1.002504825592041,1.6581628322601318,1.170365571975708,0.89515,0.78751,0.87817,0.53781,0.99384,2.06709,1.18083
28,0.9780852794647217,2.006754159927368,1.1785216331481934,0.89669,0.78941,0.87963,0.5402,0.98945,2.04985,1.17716
29,1.0053740739822388,2.0141375064849854,1.2519102096557617,0.90004,0.78971,0.88145,0.54305,0.98526,2.03428,1.17367
30,1.0545092821121216,1.9797431230545044,1.1614230871200562,0.90269,0.78877,0.88221,0.54488,0.98116,2.01776,1.17044
31,0.8988935351371765,1.8685097694396973,1.1501740217208862,0.90391,0.79059,0.88363,0.54774,0.97636,2.00114,1.16616
32,0.9970813989639282,2.015256404876709,1.2000824213027954,0.90661,0.79073,0.8851,0.55102,0.97195,1.98655,1.16243
33,1.0698132514953613,1.96157705783844,1.228278398513794,0.90867,0.79115,0.88649,0.55342,0.96791,1.97144,1.159
34,1.0168781280517578,1.8040492534637451,1.1401243209838867,0.90976,0.79291,0.88759,0.55587,0.96455,1.95846,1.15585
35,1.059039831161499,2.0200963020324707,1.1264595985412598,0.91066,0.79536,0.88884,0.55819,0.96108,1.94572,1.153
36,1.0477298498153687,1.725048303604126,1.1963913440704346,0.91362,0.79634,0.89035,0.56038,0.95716,1.93272,1.14988
37,1.0596199035644531,1.8732188940048218,1.1999367475509644,0.91478,0.79724,0.89168,0.56306,0.95318,1.92048,1.1464
38,0.9719067811965942,1.7688452005386353,1.157038927078247,0.91654,0.7991,0.8934,0.56567,0.94867,1.90792,1.14329
39,0.9827362298965454,2.0775647163391113,1.1359370946884155,0.91669,0.79931,0.89445,0.56855,0.94455,1.89477,1.13942
40,0.9803776741027832,1.6795568466186523,1.1139943599700928,0.91984,0.80074,0.89641,0.57108,0.94083,1.88106,1.13597
41,1.1083145141601562,1.9372414350509644,1.1863877773284912,0.92057,0.80414,0.89733,0.57399,0.93672,1.86548,1.13259
42,0.9833852648735046,2.2529163360595703,1.1517585515975952,0.92176,0.80602,0.89961,0.57595,0.93304,1.85369,1.12942
43,0.921390950679779,1.6066440343856812,1.070006012916565,0.92259,0.80782,0.90154,0.57924,0.92915,1.83996,1.12573
44,0.9913123846054077,1.5466793775558472,1.1603083610534668,0.92376,0.80918,0.90289,0.58061,0.92534,1.82718,1.1222
45,1.0327705144882202,2.0721616744995117,1.165846347808838,0.9245,0.81122,0.90335,0.58252,0.9215,1.81179,1.1188
46,1.0260891914367676,1.800947904586792,1.1816074848175049,0.92683,0.81314,0.90648,0.58541,0.91767,1.79696,1.11567
47,0.9911128878593445,1.6052885055541992,1.1260744333267212,0.92813,0.81551,0.9064,0.58707,0.91377,1.78243,1.11262
48,0.9795135259628296,1.5877865552902222,1.1435878276824951,0.92996,0.8162,0.90778,0.58915,0.91048,1.77056,1.11011
49,0.9542855620384216,1.7106174230575562,1.1058496236801147,0.92977,0.81929,0.90894,0.59131,0.90712,1.75819,1.10708
50,0.9944090247154236,2.0412659645080566,1.1763449907302856,0.93034,0.82097,0.91045,0.59354,0.90397,1.74347,1.10417
51,1.006107211112976,2.33247447013855,1.0599721670150757,0.93186,0.82313,0.91179,0.59522,0.90035,1.7288,1.10137
52,0.8508309721946716,1.5468372106552124,1.079339861869812,0.93116,0.82483,0.91303,0.59796,0.89668,1.7162,1.09851
53,1.0580497980117798,1.6923656463623047,1.1725633144378662,0.93216,0.82735,0.91466,0.60015,0.89344,1.70053,1.09567
54,0.8618680238723755,1.6637547016143799,1.102089285850525,0.93582,0.82899,0.91623,0.60236,0.89004,1.68633,1.09304
55,0.8600810170173645,1.6385732889175415,1.0701112747192383,0.93621,0.82967,0.9172,0.60446,0.88651,1.6729,1.09038
56,1.0534076690673828,1.8312369585037231,1.3514704704284668,0.93606,0.83239,0.91883,0.60651,0.88334,1.65895,1.08805
57,0.8919841051101685,1.5343250036239624,1.0370633602142334,0.93699,0.83334,0.91976,0.60824,0.88035,1.64616,1.08592
58,1.0329160690307617,1.5752267837524414,1.214311122894287,0.93813,0.83511,0.92111,0.61018,0.87782,1.63098,1.08364
59,0.870123028755188,1.4743577241897583,1.046174168586731,0.93638,0.83811,0.92347,0.61192,0.87579,1.61979,1.08153
60,0.9196228981018066,1.4825091361999512,1.0966507196426392,0.93623,0.8406,0.92461,0.61381,0.87314,1.60773,1.07935
61,0.9117875099182129,1.5471795797348022,1.0824910402297974,0.93504,0.84463,0.92552,0.61607,0.87046,1.596,1.07737
