epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,329.626,1.33527,6.22377,1.82883,0.44155,0.26094,0.25247,0.09174,1.3701,13.9053,1.89564,0.00327419,0.00327419,0.0533311
2,594.81,1.28403,5.63654,1.78518,0.49902,0.26684,0.2946,0.11576,1.33693,8.87333,1.81064,0.00590345,0.00590345,0.0059604
3,857.146,1.21504,5.06585,1.702,0.56012,0.31554,0.34152,0.12964,1.32128,9.83203,1.83599,0.00525779,0.00525779,0.00525779
4,1122.73,1.16106,4.62518,1.63862,0.67435,0.40139,0.48408,0.20997,1.17676,6.33443,1.62878,0.00460876,0.00460876,0.00460876
5,1389.99,1.11495,4.24916,1.58447,0.71133,0.46695,0.54678,0.24449,1.13038,7.51727,1.56257,0.00395973,0.00395973,0.00395973
6,1660.06,1.07138,3.93862,1.53123,0.76511,0.52155,0.62795,0.29816,1.07383,7.9967,1.50915,0.0033107,0.0033107,0.0033107
7,1926.46,1.03097,3.65227,1.48812,0.78533,0.57329,0.68661,0.34315,1.02952,4.39011,1.4592,0.00266167,0.00266167,0.00266167
8,2138.47,0.99977,3.41661,1.44904,0.80061,0.63292,0.73861,0.37796,0.98564,4.64405,1.42089,0.00201264,0.00201264,0.00201264
9,2383.6,0.9601,3.18907,1.40675,0.81756,0.64531,0.7545,0.39893,0.96084,4.22523,1.39122,0.00136362,0.00136362,0.00136362
10,2646.98,0.93022,3.01344,1.37477,0.83279,0.6673,0.77519,0.41795,0.94195,3.89786,1.36855,0.000714587,0.000714587,0.000714587
