epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,296.585,3.45618,8.6511,2.35241,0.01343,0.00408,0.002,0.00113,4.12648,13.7771,3.13552,0.0912359,0.0912359,0.0913498
2,576.429,3.30756,7.03269,2.2488,0.15076,0.1043,0.05344,0.01719,4.00102,159.539,2.70049,0.0822973,0.0822973,0.0822973
3,843.5,3.21311,6.39903,2.17855,0.40232,0.05147,0.0518,0.018,3.90691,27.5132,2.65758,0.0732546,0.0732546,0.0732546
4,1110.1,3.15146,6.11012,2.13143,0.00075,0.08993,8e-05,1e-05,4.15317,10.354,2.74369,0.064212,0.064212,0.064212
5,1355.49,3.11763,5.95916,2.10336,0.05901,0.29641,0.0645,0.02121,3.62203,9.69346,2.3295,0.0551693,0.0551693,0.0551693
6,1540.9,3.08159,5.86664,2.08327,0,0,0,0,4.16856,16.2239,2.52324,0.0461267,0.0461267,0.0461267
7,1772.14,3.03114,5.72135,2.05986,0.38281,0.09112,0.10752,0.03527,3.28324,8.90986,2.16828,0.037084,0.037084,0.037084
8,2036.94,3.00319,5.61334,2.03876,0.36884,0.19809,0.18653,0.06382,3.1891,8.28765,2.05596,0.0280414,0.0280414,0.0280414
9,2301,2.94609,5.44819,2.00926,0.40217,0.26795,0.25614,0.09588,2.97646,10.2226,1.97122,0.0189987,0.0189987,0.0189987
10,2565.36,2.89055,5.32506,1.979,0.47522,0.28498,0.3022,0.11219,2.8501,9.97417,1.89981,0.00995606,0.00995606,0.00995606
