epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
3,1055.01,1.71237,3.8583,1.81308,0.52403,0.26857,0.28207,0.1118,1.55296,6.75504,1.59454,0.00390368,0.00390368,0.0439151
4,1303.83,1.65752,3.67627,1.75769,0.58042,0.31455,0.35196,0.14545,1.51038,8.4832,1.58222,0.00456262,0.00456262,0.024574
5,1608.14,1.61841,3.5164,1.72158,0.5939,0.31193,0.36434,0.15428,1.5083,7.54014,1.58096,0.00490026,0.00490026,0.00491164
1,410.119,1.84749,4.34249,1.93398,0.30998,0.16502,0.14656,0.05387,1.78557,37.7086,1.80654,0.00162186,0.00162186,0.0816333
6,1925.11,1.57309,3.36738,1.68328,0.61416,0.35312,0.41629,0.18732,1.44201,6.15817,1.51238,0.00409753,0.00409753,0.00409753
2,739.439,1.77701,4.06895,1.87878,0.39645,0.17707,0.17573,0.06776,1.72416,6.41809,1.6743,0.00292343,0.00292343,0.0629348
7,2238.24,1.52389,3.20168,1.64503,0.65485,0.384,0.46015,0.21575,1.37454,6.06541,1.45639,0.00329426,0.00329426,0.00329426
3,1068.51,1.71237,3.8583,1.81308,0.52403,0.26857,0.28207,0.1118,1.55296,6.75504,1.59454,0.00390368,0.00390368,0.0439151
8,2546.45,1.47635,3.05379,1.61186,0.66083,0.39492,0.47751,0.23102,1.34167,5.15766,1.43716,0.00249098,0.00249098,0.00249098
4,1378.11,1.65752,3.67627,1.75769,0.58042,0.31455,0.35196,0.14545,1.51038,8.4832,1.58222,0.00456262,0.00456262,0.024574
9,2851.55,1.43691,2.91078,1.57109,0.67157,0.42059,0.50955,0.25024,1.31595,5.06292,1.41296,0.0016877,0.0016877,0.0016877
5,1685.62,1.61841,3.5164,1.72158,0.5939,0.31193,0.36434,0.15428,1.5083,7.54014,1.58096,0.00490026,0.00490026,0.00491164
10,3158.69,1.39134,2.79586,1.52913,0.68552,0.43543,0.5329,0.26514,1.29339,4.93851,1.39072,0.000884418,0.000884418,0.000884418
6,1987.35,1.57309,3.36738,1.68328,0.61416,0.35312,0.41629,0.18732,1.44201,6.15817,1.51238,0.00409753,0.00409753,0.00409753
7,2257.41,1.52389,3.20168,1.64503,0.65485,0.384,0.46015,0.21575,1.37454,6.06541,1.45639,0.00329426,0.00329426,0.00329426
8,2561.34,1.47635,3.05379,1.61186,0.66083,0.39492,0.47751,0.23102,1.34167,5.15766,1.43716,0.00249098,0.00249098,0.00249098
9,2876.64,1.43691,2.91078,1.57109,0.67157,0.42059,0.50955,0.25024,1.31595,5.06292,1.41296,0.0016877,0.0016877,0.0016877
10,3190.25,1.39134,2.79586,1.52913,0.68552,0.43543,0.5329,0.26514,1.29339,4.93851,1.39072,0.000884418,0.000884418,0.000884418
