epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,196.093,1.98829,4.03142,1.50746,0.71312,0.55574,0.63977,0.28344,1.70513,4.46224,1.30602,0.00125556,0.00125556,0.00131251
2,386.114,1.76127,2.91319,1.37436,0.80926,0.65457,0.75949,0.37424,1.56251,3.61843,1.23427,0.00121482,0.00121482,0.00121482
3,576.615,1.64796,2.5381,1.30638,0.8336,0.71114,0.80372,0.41848,1.49068,4.0648,1.18389,0.00117336,0.00117336,0.00117336
4,767.494,1.5679,2.32729,1.26013,0.86715,0.74611,0.84661,0.46069,1.39717,3.37723,1.13217,0.00113191,0.00113191,0.00113191
5,957.503,1.50942,2.18354,1.22998,0.87497,0.76467,0.85926,0.48153,1.36209,2.67634,1.10237,0.00109045,0.00109045,0.00109045
6,1147.47,1.46708,2.0586,1.20502,0.8885,0.80039,0.8858,0.51576,1.30554,2.35965,1.0759,0.00104899,0.00104899,0.00104899
7,1337.07,1.42412,1.96848,1.18443,0.90029,0.80639,0.89342,0.5325,1.26787,2.32487,1.06078,0.00100753,0.00100753,0.00100753
8,1526.79,1.39673,1.88586,1.17004,0.90194,0.82031,0.90213,0.54931,1.23546,2.02125,1.04588,0.000966077,0.000966077,0.000966077
9,1716.04,1.36569,1.81996,1.15102,0.91065,0.8312,0.91165,0.56365,1.20735,1.92643,1.02556,0.00092462,0.00092462,0.00092462
10,1905.25,1.33548,1.76614,1.13769,0.91736,0.84444,0.91845,0.57989,1.17364,1.76154,1.01216,0.000883163,0.000883163,0.000883163
11,2094.25,1.31283,1.71122,1.12735,0.92032,0.85486,0.92537,0.5932,1.14383,1.71058,1.00015,0.000841706,0.000841706,0.000841706
12,2282.95,1.28582,1.65775,1.11234,0.923,0.8635,0.92903,0.60215,1.12638,1.65896,0.98882,0.000800249,0.000800249,0.000800249
13,2471.49,1.26312,1.60691,1.10113,0.92888,0.86606,0.9315,0.60984,1.1112,1.59396,0.98024,0.000758792,0.000758792,0.000758792
14,2660.13,1.24448,1.56917,1.09179,0.9316,0.8698,0.9357,0.61885,1.08803,1.59014,0.97011,0.000717334,0.000717334,0.000717334
15,2848.71,1.22108,1.53393,1.08405,0.93568,0.87086,0.93652,0.62391,1.07407,1.54329,0.96386,0.000675877,0.000675877,0.000675877
16,3037.09,1.20463,1.5057,1.07664,0.9329,0.87821,0.93876,0.62936,1.06177,1.54153,0.96004,0.00063442,0.00063442,0.00063442
17,3225.51,1.18637,1.4734,1.06638,0.93515,0.87957,0.94085,0.63424,1.05046,1.51972,0.95532,0.000592963,0.000592963,0.000592963
18,3413.58,1.17213,1.45879,1.06262,0.93812,0.8804,0.94198,0.63782,1.04229,1.49468,0.95177,0.000551506,0.000551506,0.000551506
19,3601.36,1.15181,1.41962,1.05264,0.93662,0.88365,0.94314,0.64106,1.03434,1.47284,0.94794,0.000510049,0.000510049,0.000510049
20,3789.06,1.13661,1.39078,1.04549,0.93784,0.88539,0.94398,0.64446,1.02865,1.45215,0.94534,0.000468591,0.000468591,0.000468591
21,4001.07,1.12112,1.36926,1.03903,0.93796,0.88728,0.94518,0.64711,1.02314,1.44511,0.94269,0.000427134,0.000427134,0.000427134
22,4188.26,1.10724,1.3441,1.03443,0.93921,0.88885,0.94573,0.64863,1.019,1.43722,0.94071,0.000385677,0.000385677,0.000385677
23,4375.5,1.09433,1.32411,1.02718,0.93962,0.89121,0.94632,0.65037,1.01409,1.42734,0.93849,0.00034422,0.00034422,0.00034422
24,4562.79,1.07724,1.30701,1.01975,0.94125,0.89105,0.94699,0.6522,1.00986,1.41727,0.9365,0.000302763,0.000302763,0.000302763
25,4749.87,1.06512,1.28423,1.01632,0.94256,0.8908,0.94759,0.6538,1.00593,1.40713,0.93501,0.000261306,0.000261306,0.000261306
26,4936.89,1.05111,1.26846,1.0104,0.94269,0.89176,0.94791,0.65547,1.00144,1.39337,0.9332,0.000219849,0.000219849,0.000219849
27,5123.99,1.03476,1.24896,1.00258,0.94214,0.89284,0.94845,0.65786,0.99805,1.38367,0.93136,0.000178391,0.000178391,0.000178391
28,5311.26,1.02527,1.23232,1.00154,0.9433,0.894,0.94912,0.65943,0.99452,1.37506,0.92962,0.000136934,0.000136934,0.000136934
29,5498.51,1.01165,1.21639,0.99674,0.94501,0.894,0.94968,0.66107,0.99128,1.36633,0.92823,9.54771e-05,9.54771e-05,9.54771e-05
30,5685.68,1.00327,1.20615,0.99335,0.94571,0.89422,0.95002,0.66257,0.98804,1.36112,0.92666,5.40199e-05,5.40199e-05,5.40199e-05
