epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,299.207,2.30828,2.32921,1.81603,0.4539,0.30006,0.30336,0.11312,2.18926,3.64968,1.71332,0.00019612,0.00019612,0.000310015
2,537.231,2.05265,1.64587,1.63144,0.54089,0.34815,0.37817,0.15534,2.04291,3.39148,1.59885,0.000176905,0.000176905,0.000176905
3,776.636,1.96962,1.53655,1.56063,0.58249,0.37878,0.42234,0.18165,1.96829,3.44762,1.51774,0.000157467,0.000157467,0.000157467
4,1019.43,1.91529,1.48004,1.52606,0.61871,0.3922,0.4511,0.19906,1.94258,3.39961,1.50318,0.000138029,0.000138029,0.000138029
5,1258.74,1.88165,1.42925,1.49368,0.6192,0.40724,0.46431,0.21067,1.91453,3.36505,1.48929,0.000118591,0.000118591,0.000118591
6,1497.1,1.8597,1.4065,1.47691,0.63922,0.40813,0.47697,0.21683,1.90406,3.16058,1.46844,9.91534e-05,9.91534e-05,9.91534e-05
7,1734.19,1.83461,1.38338,1.46522,0.64213,0.42018,0.49049,0.22758,1.86136,3.07209,1.4526,7.97154e-05,7.97154e-05,7.97154e-05
8,1972.43,1.82224,1.3658,1.45311,0.64516,0.42801,0.49779,0.23234,1.8587,3.22087,1.45071,6.02774e-05,6.02774e-05,6.02774e-05
9,2213.79,1.80715,1.35326,1.44438,0.64034,0.4327,0.50225,0.2359,1.84714,3.19614,1.44544,4.08394e-05,4.08394e-05,4.08394e-05
10,2454.15,1.80151,1.34945,1.44109,0.6412,0.4355,0.5046,0.2378,1.84073,3.07454,1.43945,2.14014e-05,2.14014e-05,2.14014e-05
