epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,329.256,1.49078,4.21848,1.74433,0.37223,0.22908,0.22333,0.08255,1.55453,7.21016,1.81056,0.00128925,0.00128925,0.0513462
2,555.116,1.42166,3.76547,1.69191,0.51789,0.35482,0.3666,0.14052,1.44392,17.6331,1.71054,0.00232456,0.00232456,0.0023815
3,752.276,1.35708,3.42967,1.62981,0.53207,0.33117,0.34221,0.13125,1.50514,14.4159,1.80634,0.00207032,0.00207032,0.00207032
4,950.115,1.29516,3.14594,1.57811,0.69696,0.45095,0.5318,0.24057,1.28699,3.99775,1.53493,0.00181475,0.00181475,0.00181475
5,1152.59,1.24353,2.92135,1.52045,0.70717,0.49003,0.57285,0.2531,1.2813,4.87624,1.55937,0.00155919,0.00155919,0.00155919
6,1353.12,1.1942,2.73343,1.47367,0.74884,0.55497,0.65736,0.31391,1.17687,3.70987,1.43141,0.00130363,0.00130363,0.00130363
7,1557.24,1.1488,2.57005,1.4304,0.76669,0.57989,0.68548,0.34415,1.14001,3.17818,1.39586,0.00104807,0.00104807,0.00104807
8,1757.79,1.10975,2.42351,1.38814,0.79282,0.61808,0.72591,0.37324,1.10535,3.10078,1.36472,0.000792503,0.000792503,0.000792503
9,1962.4,1.06877,2.29765,1.34429,0.80816,0.63494,0.74835,0.39691,1.06389,2.78848,1.32636,0.00053694,0.00053694,0.00053694
10,2163.4,1.03454,2.18925,1.30904,0.82028,0.66015,0.7701,0.41346,1.04595,2.65807,1.30475,0.000281377,0.000281377,0.000281377
