epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,307.645,1.74396,1.98094,1.94256,0.26032,0.19348,0.14529,0.04865,1.71907,6.36919,1.9129,0.048332,0.048332,0.0483889
2,630.245,1.67328,1.73069,1.94306,0.39268,0.2378,0.22689,0.08539,1.564,2.91476,1.77321,0.0435719,0.0435719,0.0435719
3,958.111,1.59357,1.60054,1.86021,0.36305,0.26741,0.2491,0.0903,1.60128,3.20571,1.80574,0.0387843,0.0387843,0.0387843
4,1301.35,1.54964,1.53234,1.80863,0.33222,0.26072,0.22486,0.07736,1.78035,3.61591,1.85959,0.0339967,0.0339967,0.0339967
5,1633.76,1.51284,1.47287,1.77089,0.33075,0.25162,0.20076,0.06849,1.94021,4.21431,1.98568,0.0292092,0.0292092,0.0292092
6,1968.11,1.47549,1.41992,1.73188,0.33273,0.26979,0.2365,0.07965,1.84302,3.73095,1.89594,0.0244216,0.0244216,0.0244216
7,2293.15,1.43608,1.36341,1.68742,0.40946,0.28566,0.28975,0.1124,1.78006,2.96576,1.84473,0.019634,0.019634,0.019634
8,2544.08,1.39679,1.3073,1.65191,0.35567,0.32378,0.27716,0.10285,1.8142,2.5491,1.84813,0.0148464,0.0148464,0.0148464
9,2847.24,1.3484,1.24112,1.59993,0.35321,0.33787,0.29074,0.10934,1.76618,3.05745,1.79904,0.0100588,0.0100588,0.0100588
10,3180.32,1.29409,1.16924,1.55158,0.35629,0.35842,0.30273,0.11926,1.74785,2.93462,1.76865,0.00527119,0.00527119,0.00527119
