epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
4,1323.36,1.98445,6.38499,1.57833,0.57796,0.35687,0.40833,0.17783,1.8336,13.2573,1.4264,0.000481831,0.000481831,0.000481831
5,1579.41,1.94813,6.18734,1.55359,0.57704,0.36408,0.42147,0.18923,1.8057,11.8058,1.41524,0.000413977,0.000413977,0.000413977
1,387.154,2.36164,8.8486,1.92479,0.4647,0.26898,0.28332,0.10826,2.01389,16.8317,1.56866,0.000685002,0.000685002,0.00074195
6,1879.17,1.92382,6.05606,1.53432,0.60671,0.37531,0.44016,0.19955,1.78513,10.7092,1.39522,0.000346123,0.000346123,0.000346123
2,690.128,2.0975,7.04145,1.6672,0.53787,0.30982,0.34753,0.14294,1.9193,13.0777,1.48878,0.000617539,0.000617539,0.000617539
7,2178.56,1.8995,5.92722,1.52107,0.62342,0.37967,0.45454,0.20808,1.76863,9.84495,1.38412,0.000278269,0.000278269,0.000278269
3,998.196,2.02567,6.64329,1.60904,0.57564,0.32439,0.37569,0.15911,1.87845,13.5411,1.46068,0.000549685,0.000549685,0.000549685
8,2483.06,1.88185,5.84013,1.51146,0.6334,0.38954,0.46473,0.21512,1.75356,9.61048,1.38083,0.000210416,0.000210416,0.000210416
4,1302.78,1.98445,6.38499,1.57833,0.57796,0.35687,0.40833,0.17783,1.8336,13.2573,1.4264,0.000481831,0.000481831,0.000481831
9,2784.23,1.87196,5.77147,1.50068,0.63177,0.39336,0.4717,0.21979,1.74303,9.62796,1.37294,0.000142562,0.000142562,0.000142562
5,1604.96,1.94813,6.18734,1.55359,0.57704,0.36408,0.42147,0.18923,1.8057,11.8058,1.41524,0.000413977,0.000413977,0.000413977
10,3084.14,1.85851,5.69745,1.4915,0.63491,0.39554,0.4749,0.22146,1.73849,9.74118,1.37306,7.47078e-05,7.47078e-05,7.47078e-05
6,1858.48,1.92382,6.05606,1.53432,0.60671,0.37531,0.44016,0.19955,1.78513,10.7092,1.39522,0.000346123,0.000346123,0.000346123
7,2165.93,1.8995,5.92722,1.52107,0.62342,0.37967,0.45454,0.20808,1.76863,9.84495,1.38412,0.000278269,0.000278269,0.000278269
8,2501.7,1.88185,5.84013,1.51146,0.6334,0.38954,0.46473,0.21512,1.75356,9.61048,1.38083,0.000210416,0.000210416,0.000210416
9,2838.38,1.87196,5.77147,1.50068,0.63177,0.39336,0.4717,0.21979,1.74303,9.62796,1.37294,0.000142562,0.000142562,0.000142562
10,3172.3,1.85851,5.69745,1.4915,0.63491,0.39554,0.4749,0.22146,1.73849,9.74118,1.37306,7.47078e-05,7.47078e-05,7.47078e-05
