epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,253.474,1.92183,4.47608,1.79755,0.19322,0.05501,0.03322,0.013,2.69483,9.37223,2.65358,0.00243779,0.00243779,0.0774663
2,455.444,1.84756,4.05807,1.7534,0.35791,0.2171,0.19614,0.06867,2.14407,6.42502,1.92939,0.0043954,0.0043954,0.0544239
3,657.276,1.78318,3.80157,1.69806,0.52089,0.30792,0.32143,0.11762,1.95738,9.54359,1.77378,0.00586977,0.00586977,0.0308982
4,859.553,1.72382,3.58274,1.65895,0.61182,0.33821,0.38988,0.16112,1.83716,5.52712,1.71695,0.00686092,0.00686092,0.00688939
5,1060.72,1.65774,3.30472,1.59541,0.65017,0.38767,0.45271,0.19469,1.78252,7.33044,1.67143,0.00589641,0.00589641,0.00589641
6,1258.28,1.58451,3.0418,1.5433,0.75524,0.51814,0.61449,0.2859,1.55177,5.57371,1.50476,0.00492994,0.00492994,0.00492994
7,1458.85,1.51445,2.81118,1.493,0.78235,0.56846,0.67878,0.33885,1.47226,3.84618,1.44093,0.00396348,0.00396348,0.00396348
8,1661.7,1.4531,2.60982,1.44109,0.77794,0.5577,0.66013,0.33128,1.49894,3.94488,1.4621,0.00299702,0.00299702,0.00299702
9,1864.04,1.38391,2.42293,1.39355,0.81216,0.63227,0.74003,0.3972,1.38705,3.07909,1.37861,0.00203055,0.00203055,0.00203055
10,2062.79,1.32994,2.27841,1.36087,0.83343,0.65818,0.76826,0.42109,1.3278,2.84739,1.3381,0.00106409,0.00106409,0.00106409
