epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,311.994,1.26072,4.972,1.66973,0.44057,0.16243,0.18003,0.06881,1.46168,7.84204,2.01861,3.50773e-05,3.50773e-05,0.0667397
2,509.943,1.16298,4.14191,1.54706,0.61427,0.40772,0.4589,0.18161,1.20114,7.08537,1.54751,6.32453e-05,6.32453e-05,0.0334345
3,746.508,1.0998,3.68808,1.47465,0.70393,0.44829,0.53942,0.23892,1.14413,4.72548,1.48714,8.44601e-05,8.44601e-05,0.000122425
4,1004.75,1.04317,3.34439,1.41349,0.73483,0.51276,0.61383,0.2971,1.06294,4.29995,1.42227,7.40623e-05,7.40623e-05,7.40623e-05
5,1269.01,1.00202,3.08208,1.3631,0.74524,0.57015,0.67383,0.33874,1.00227,4.25579,1.35968,6.36325e-05,6.36325e-05,6.36325e-05
6,1524.74,0.96972,2.89502,1.32599,0.78342,0.60285,0.71878,0.3715,0.96922,3.36922,1.32611,5.32027e-05,5.32027e-05,5.32027e-05
7,1791.55,0.93708,2.72732,1.29629,0.80481,0.63728,0.75238,0.39568,0.94465,3.29057,1.29457,4.27728e-05,4.27728e-05,4.27728e-05
8,2055.21,0.91089,2.60124,1.26463,0.8246,0.66036,0.77647,0.41787,0.92574,3.14641,1.27179,3.2343e-05,3.2343e-05,3.2343e-05
9,2321.15,0.88942,2.49649,1.24424,0.84318,0.67077,0.79103,0.43506,0.90533,2.96515,1.25195,2.19132e-05,2.19132e-05,2.19132e-05
10,2586.17,0.87165,2.4124,1.2268,0.84539,0.68159,0.80044,0.44382,0.89623,2.94002,1.24192,1.14833e-05,1.14833e-05,1.14833e-05
