epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,384.905,1.76293,3.92033,1.80726,0.33866,0.09347,0.08978,0.03371,1.99773,9.30593,2.02555,0.00162186,0.00162186,0.0816333
2,665.853,1.68665,3.58592,1.76683,0.51578,0.30717,0.32894,0.12498,1.64072,7.68882,1.71478,0.00292343,0.00292343,0.0629348
3,999.279,1.62049,3.33251,1.7166,0.61932,0.39642,0.42921,0.17621,1.46144,5.6935,1.51217,0.00390368,0.00390368,0.0439151
4,1333.53,1.56483,3.1107,1.65767,0.64902,0.42372,0.47811,0.19972,1.45758,10.2413,1.51009,0.00456262,0.00456262,0.024574
5,1677.14,1.51998,2.94294,1.62664,0.71173,0.48323,0.55962,0.25601,1.36259,6.26617,1.45113,0.00490026,0.00490026,0.00491164
6,2011.58,1.47393,2.78606,1.58371,0.74668,0.49623,0.59585,0.28465,1.31434,4.79373,1.39828,0.00409753,0.00409753,0.00409753
7,2348.55,1.41433,2.60014,1.54123,0.7713,0.53285,0.63911,0.31585,1.27166,4.90658,1.37102,0.00329426,0.00329426,0.00329426
8,2689.13,1.3637,2.42545,1.50352,0.77933,0.57751,0.68429,0.34914,1.22467,4.14675,1.3367,0.00249098,0.00249098,0.00249098
9,2944.47,1.31491,2.28462,1.45503,0.79847,0.60363,0.71264,0.37419,1.1908,3.74378,1.30344,0.0016877,0.0016877,0.0016877
10,3250.08,1.26478,2.15292,1.41494,0.80497,0.62015,0.73036,0.39185,1.16655,3.46661,1.28478,0.000884418,0.000884418,0.000884418
